,Sample,Allele,Temperature,Tissue,Individual
0,MBSD_002.counts,P1,Warm,Liver,MBSD
1,MBSD_003.counts,P1,Warm,Liver,MBSD
2,MBSD_009.counts,P1,Warm,Liver,MBSD
3,MBSD_012.counts,P1,Warm,Liver,MBSD
4,MBSD_013.counts,P1,Warm,Liver,MBSD
5,MBSD_022.counts,P1,Warm,Liver,MBSD
6,MBSD_005.counts,P1,Cold,Liver,MBSD
7,MBSD_007.counts,P1,Cold,Liver,MBSD
8,MBSD_011.counts,P1,Cold,Liver,MBSD
9,MBSD_015.counts,P1,Cold,Liver,MBSD
10,MBSD_020.counts,P1,Cold,Liver,MBSD
11,MBSD_024.counts,P1,Cold,Liver,MBSD
12,MBSD_101.counts,P1,Warm,BAT,MBSD
13,MBSD_102.counts,P1,Warm,BAT,MBSD
14,MBSD_108.counts,P1,Warm,BAT,MBSD
15,MBSD_111.counts,P1,Warm,BAT,MBSD
16,MBSD_112.counts,P1,Warm,BAT,MBSD
17,MBSD_121.counts,P1,Warm,BAT,MBSD
18,MBSD_104.counts,P1,Cold,BAT,MBSD
19,MBSD_106.counts,P1,Cold,BAT,MBSD
20,MBSD_110.counts,P1,Cold,BAT,MBSD
21,MBSD_114.counts,P1,Cold,BAT,MBSD
22,MBSD_119.counts,P1,Cold,BAT,MBSD
23,MBSD_123.counts,P1,Cold,BAT,MBSD
24,MBSD_055.counts,P2,Warm,Liver,MBSD
25,MBSD_061.counts,P2,Warm,Liver,MBSD
26,MBSD_065.counts,P2,Warm,Liver,MBSD
27,MBSD_072.counts,P2,Warm,Liver,MBSD
28,MBSD_075.counts,P2,Warm,Liver,MBSD
29,MBSD_077.counts,P2,Warm,Liver,MBSD
30,MBSD_057.counts,P2,Cold,Liver,MBSD
31,MBSD_059.counts,P2,Cold,Liver,MBSD
32,MBSD_063.counts,P2,Cold,Liver,MBSD
33,MBSD_067.counts,P2,Cold,Liver,MBSD
34,MBSD_069.counts,P2,Cold,Liver,MBSD
35,MBSD_074.counts,P2,Cold,Liver,MBSD
36,MBSD_154.counts,P2,Warm,BAT,MBSD
37,MBSD_160.counts,P2,Warm,BAT,MBSD
38,MBSD_164.counts,P2,Warm,BAT,MBSD
39,MBSD_171.counts,P2,Warm,BAT,MBSD
40,MBSD_174.counts,P2,Warm,BAT,MBSD
41,MBSD_176.counts,P2,Warm,BAT,MBSD
42,MBSD_156.counts,P2,Cold,BAT,MBSD
43,MBSD_158.counts,P2,Cold,BAT,MBSD
44,MBSD_162.counts,P2,Cold,BAT,MBSD
45,MBSD_166.counts,P2,Cold,BAT,MBSD
46,MBSD_168.counts,P2,Cold,BAT,MBSD
47,MBSD_173.counts,P2,Cold,BAT,MBSD
48,X079_warmM_geno1,H1,Warm,Liver,X079
49,X082_warmM_geno1,H1,Warm,Liver,X082
50,X086_warmM_geno1,H1,Warm,Liver,X086
51,X090_warmM_geno1,H1,Warm,Liver,X090
52,X097_warmM_geno1,H1,Warm,Liver,X097
53,X098_warmM_geno1,H1,Warm,Liver,X098
54,X078_coldM_geno1,H1,Cold,Liver,X078
55,X083_coldM_geno1,H1,Cold,Liver,X083
56,X088_coldM_geno1,H1,Cold,Liver,X088
57,X093_coldM_geno1,H1,Cold,Liver,X093
58,X095_coldM_geno1,H1,Cold,Liver,X095
59,X099_coldM_geno1,H1,Cold,Liver,X099
60,X196_warmM_geno1,H1,Warm,BAT,X196
61,X197_warmM_geno1,H1,Warm,BAT,X197
62,X189_warmM_geno1,H1,Warm,BAT,X189
63,X185_warmM_geno1,H1,Warm,BAT,X185
64,X178_warmM_geno1,H1,Warm,BAT,X178
65,X181_warmM_geno1,H1,Warm,BAT,X181
66,X177_coldM_geno1,H1,Cold,BAT,X177
67,X182_coldM_geno1,H1,Cold,BAT,X182
68,X187_coldM_geno1,H1,Cold,BAT,X187
69,X192_coldM_geno1,H1,Cold,BAT,X192
70,X194_coldM_geno1,H1,Cold,BAT,X194
71,X198_coldM_geno1,H1,Cold,BAT,X198
72,X079_warmM_geno2,H2,Warm,Liver,X079
73,X082_warmM_geno2,H2,Warm,Liver,X082
74,X086_warmM_geno2,H2,Warm,Liver,X086
75,X090_warmM_geno2,H2,Warm,Liver,X090
76,X097_warmM_geno2,H2,Warm,Liver,X097
77,X098_warmM_geno2,H2,Warm,Liver,X098
78,X078_coldM_geno2,H2,Cold,Liver,X078
79,X083_coldM_geno2,H2,Cold,Liver,X083
80,X088_coldM_geno2,H2,Cold,Liver,X088
81,X093_coldM_geno2,H2,Cold,Liver,X093
82,X095_coldM_geno2,H2,Cold,Liver,X095
83,X099_coldM_geno2,H2,Cold,Liver,X099
84,X196_warmM_geno2,H2,Warm,BAT,X196
85,X197_warmM_geno2,H2,Warm,BAT,X197
86,X189_warmM_geno2,H2,Warm,BAT,X189
87,X185_warmM_geno2,H2,Warm,BAT,X185
88,X178_warmM_geno2,H2,Warm,BAT,X178
89,X181_warmM_geno2,H2,Warm,BAT,X181
90,X177_coldM_geno2,H2,Cold,BAT,X177
91,X182_coldM_geno2,H2,Cold,BAT,X182
92,X187_coldM_geno2,H2,Cold,BAT,X187
93,X192_coldM_geno2,H2,Cold,BAT,X192
94,X194_coldM_geno2,H2,Cold,BAT,X194
95,X198_coldM_geno2,H2,Cold,BAT,X198
