"","raw_pval_beta_cis","raw_pval_beta_trans","BH_FDR_beta_cis","BH_FDR_beta_trans","logLik","dispersions"
"ENSMUSG00000000056",0.530367625883949,0.129827632050097,0.4330003029411,0.0926408228699181,-114.242366980997,0.0468724297839093
"ENSMUSG00000000058",0.279599923468759,0.00126946916340177,0.189163164303236,0.000264100619923784,-175.565010819656,0.300849176900345
"ENSMUSG00000000078",0.109878484367717,0.694897296623736,0.0554361800528585,0.648570810182153,-134.109458959305,0.141894121496374
"ENSMUSG00000000088",0.132734581243218,0.000521933600703435,0.0711030470378242,6.626895633722e-05,-206.040976991016,0.486750811163387
"ENSMUSG00000000120",0.025763665532368,0.00118660245683677,0.00778088592208703,0.000240103143694944,-87.3299463542008,0.246163010312454
"ENSMUSG00000000142",0.0227964592300064,0.0698641496613483,0.00652963907593149,0.0452537130218482,-121.80208019835,0.0704870015709659
"ENSMUSG00000000148",0.689053923577523,0.592169774446836,0.607106137021403,0.536920433681863,-101.647540419799,0.0739001576326943
"ENSMUSG00000000149",0.60241335185826,0.0159910301238165,0.509478226722338,0.00775980138504128,-147.887501799176,0.15775649766495
"ENSMUSG00000000184",0.963638400670066,0.355776006739155,0.950079669404356,0.296480005615962,-115.221525247786,0.166576082090352
"ENSMUSG00000000194",0.260301404026647,0.0433698365399393,0.171833807917758,0.0257095228668082,-123.536197173028,0.0705146118072607
"ENSMUSG00000000253",1.39076486703842e-05,0.00123038980737899,6.75580923687005e-08,0.000251848633939217,-197.679448173777,0.516593099553424
"ENSMUSG00000000275",0.00651377384149933,0.00135683120830664,0.00108235572039654,0.000292275533313625,-132.585859692721,0.124185393900361
"ENSMUSG00000000276",0.575383936717669,0.307641628539415,0.479582993150272,0.250596522543916,-111.005259938705,0.0896393311898755
"ENSMUSG00000000278",0.00595708180632923,6.9239572456418e-05,0.00095193568563452,1.40334811846341e-06,-127.893889059636,0.409584721287791
"ENSMUSG00000000290",0.0564808873864543,0.00799030298668132,0.0228477961538169,0.003267056882829,-108.011036667076,0.353628151432436
"ENSMUSG00000000339",0.8638944005354,0.00601372536869153,0.81585203186241,0.00227755997631684,-125.365427422831,0.122524063791488
"ENSMUSG00000000340",0.331301901051069,0.0933121680085559,0.236295392742956,0.0635523073907518,-168.024530320986,0.0554533811050556
"ENSMUSG00000000378",0.136425291512928,0.934781750828096,0.0737656350090004,0.922568521922805,-107.285518439456,0.055403993336843
"ENSMUSG00000000384",0.0232704342035974,0.000495006984379717,0.00671997128425492,6.00309977706725e-05,-168.811556152588,0.198481331422308
"ENSMUSG00000000420",0.327077721425675,0.121314920560476,0.232734700270731,0.0857739161952715,-143.290210998651,0.0657075665479281
"ENSMUSG00000000439",0.173980281264172,0.311667908949913,0.101532211042609,0.254346072429477,-114.446729539273,0.0473092532224949
"ENSMUSG00000000440",0.0957051001920207,0.00221108913340124,0.0461853255700522,0.000597771836065259,-166.104845422555,0.126074367428232
"ENSMUSG00000000441",0.0394167696597603,0.00712037954389126,0.0140302572072011,0.00282668333651965,-133.02555300211,0.124838934864242
"ENSMUSG00000000530",0.686315098835472,0.184761911447935,0.603773349930302,0.139360617629824,-119.576425723898,0.063322410583947
"ENSMUSG00000000531",0.0102028913689818,0.317313781421734,0.00203886924676638,0.259963434662261,-89.4588193182368,0.115730115341463
"ENSMUSG00000000532",0.169582379519236,0.00743395090703495,0.0981703021136482,0.002993503849332,-97.4237475376191,0.0780081553336824
"ENSMUSG00000000568",0.201412708705566,0.0146722872417967,0.123749047827808,0.006999442891899,-128.434853495262,0.0969840126487403
"ENSMUSG00000000581",0.0513644157280398,0.0295965106670883,0.0199176921960489,0.0163152624129628,-114.921124209502,0.256841720824459
"ENSMUSG00000000594",0.00264193113005997,0.000343517198816565,0.000268618458282479,3.16473131238042e-05,-144.11270211231,1.40161758456004
"ENSMUSG00000000628",0.0836470744575167,0.885154185300309,0.0388531553552251,0.864841601818544,-200.873055166105,0.0699773600190167
"ENSMUSG00000000631",0.00431331674773104,0.0562213325201663,0.000577276395550603,0.0349382150167197,-147.445039159385,0.0728101396082534
"ENSMUSG00000000708",0.0100209959619766,0.0027659655981315,0.00199244928088211,0.00081681697646664,-148.730514854447,0.1951113768547
"ENSMUSG00000000738",0.0330165033422683,0.000549675668984784,0.0109004234652614,7.21852134814188e-05,-154.846178070359,0.45100114046635
"ENSMUSG00000000740",0.12356508261316,0.00588327113108122,0.0646802149356992,0.00221731324035724,-157.743698635015,0.11036639541047
"ENSMUSG00000000743",0.0216746069609257,0.0103625923889257,0.00606671159660082,0.00454947314093372,-124.273540943538,0.0870898963400665
"ENSMUSG00000000751",0.0304298065383278,0.00160178699990945,0.00977627620444099,0.000377774890430906,-116.132075955609,0.137794262482562
"ENSMUSG00000000759",0.341756830301664,0.14702115663943,0.246271002337983,0.106978208449193,-106.666703852246,0.0334396393619143
"ENSMUSG00000000776",0.559383691497895,0.0190858544848973,0.462498810926903,0.00965482086170685,-134.282005138451,0.333077468578254
"ENSMUSG00000000811",0.750501518673477,0.012098011364231,0.677337049013852,0.00550996530977287,-105.213772935522,0.0547187483510546
"ENSMUSG00000000826",0.137875986864265,0.0545975962342422,0.0749195479711351,0.0337828342528125,-142.068913653301,0.052472991152472
"ENSMUSG00000000876",0.148727272006897,0.0012334874204337,0.0823854419642895,0.000253309141951711,-159.720658383033,0.211375044213548
"ENSMUSG00000000902",0.0268220386428206,0.0278074427445774,0.0082218309407641,0.0151380550954567,-121.694382400982,0.05668513933383
"ENSMUSG00000000957",0.00129902596177762,0.000328637151643067,9.18239457068941e-05,2.87351077316049e-05,-99.5506944535588,0.629490667517196
"ENSMUSG00000000976",0.0101740372426373,0.000138644125566727,0.00202799067315551,5.38784541565838e-06,-111.834998869339,0.256685941284972
"ENSMUSG00000001029",0.0662955315239083,0.0376925076150874,0.0282505581569217,0.0218326116135632,-104.124004168687,0.114689323931524
"ENSMUSG00000001052",0.689947954996929,0.416032098678323,0.608240550611196,0.355613366759713,-125.589622712214,0.0546851863919559
"ENSMUSG00000001054",0.302583543772038,0.00084921595494056,0.209983856255872,0.00014182048694736,-129.43164029981,0.27424944187189
"ENSMUSG00000001062",0.0199963721144432,0.0281689704466538,0.00544289860736519,0.0153820508636669,-106.661351283741,0.0581999075433753
"ENSMUSG00000001065",0.064694480990149,0.0690890166486125,0.0273190597280009,0.044635902380854,-103.216247812125,0.0947495557005205
"ENSMUSG00000001089",0.967402784236878,0.0572735189159299,0.954925394892449,0.0357455831626055,-145.51194751438,0.0547713161932979
"ENSMUSG00000001105",0.813274077358928,0.669993101616451,0.750882196717322,0.620725602184353,-114.362754252993,0.0574943511917608
"ENSMUSG00000001119",0.101382406676073,0.0211055315237175,0.0497911585216491,0.0109062922530433,-148.355822069915,0.126549601848951
"ENSMUSG00000001120",0.29864599996643,0.0861458929525862,0.20635087937379,0.0578923488317883,-107.810218825393,0.118917618960301
"ENSMUSG00000001123",0.120736227345156,0.00466741788834511,0.0627140772189829,0.00164493253552397,-139.9606099837,0.139099316491231
"ENSMUSG00000001138",0.674632295785279,0.126638487686322,0.590331509745778,0.090025752385385,-119.027431417736,0.0817245277478932
"ENSMUSG00000001143",0.736227675336895,0.00873270751398313,0.660878410742114,0.00366568928476411,-143.449365810046,0.134718559049544
"ENSMUSG00000001150",0.100042946887015,0.563749733734504,0.0489489862406984,0.506713747272923,-120.36566789094,0.0476695100121695
"ENSMUSG00000001151",0.816259991155317,0.510463722995575,0.754596129176917,0.450952374385036,-118.545289430752,0.060627842444091
"ENSMUSG00000001175",0.0242197736286431,0.00198591102629854,0.00711176937537878,0.000518266227633691,-181.960566135349,0.229874444641831
"ENSMUSG00000001211",0.965980036973034,0.0573875112796091,0.953035580866192,0.0358551787391863,-188.080745735408,0.0523156704555536
"ENSMUSG00000001229",0.0143552211489242,0.0889596874960681,0.00337840631729287,0.0600217120995247,-125.546487923566,0.107317137340651
"ENSMUSG00000001240",0.0531731771661984,0.00022390249104966,0.0209753487816411,1.39517130101296e-05,-127.807483573947,0.214194698318611
"ENSMUSG00000001248",8.41711145452821e-05,0.00967896532443873,1.09972310461173e-06,0.00418611197113916,-141.553605941645,0.455475048810627
"ENSMUSG00000001280",0.030445256902519,0.000267968117780869,0.00978633969781138,1.92111146415765e-05,-141.957688579076,0.27775796549539
"ENSMUSG00000001288",0.162639929864773,0.0027229067593752,0.0927619700485015,0.000797259801572505,-123.599330339567,0.1187168160758
"ENSMUSG00000001323",0.0874644605375454,0.274291945062102,0.0411244121823936,0.220122731791044,-113.936582819064,0.0449886029639077
"ENSMUSG00000001334",1.5571613114476e-05,0.234745214971614,8.08576225374798e-08,0.18406069535714,-101.376401285509,0.622773286341257
"ENSMUSG00000001348",0.0191195302374509,0.328578742694372,0.00509854139665357,0.271228818090095,-146.071811977425,0.113612048723271
"ENSMUSG00000001366",0.434700247604781,0.0720655586538738,0.335964311967916,0.0469572903121556,-138.386157008756,0.0574531054254756
"ENSMUSG00000001380",0.854974506799593,0.134875909689407,0.804707161424944,0.0968079184286617,-133.722706463084,0.268769973320221
"ENSMUSG00000001415",0.000425252749285438,0.000128931197241671,1.59558820502409e-05,4.72963688373968e-06,-151.470358954744,1.32194612600764
"ENSMUSG00000001418",0.00708211449789338,0.00031850999547953,0.00122305863439331,2.72093965987538e-05,-137.226376873794,0.252923806126931
"ENSMUSG00000001419",0.000804350864290606,0.000147182515106642,4.52699983922351e-05,6.11411453039317e-06,-167.694718003138,1.03037691716319
"ENSMUSG00000001420",0.00410869136756608,0.000788256913734624,0.000533372832472983,0.00012701895326846,-158.319011128236,0.704817323847229
"ENSMUSG00000001424",0.00919709730699846,0.00210686012697878,0.00177625681657776,0.000558653196148645,-120.261619990458,0.08247592108523
"ENSMUSG00000001435",0.671579995478054,0.0285131804067459,0.586535694543145,0.0156082200283493,-115.348146139922,0.298512084087565
"ENSMUSG00000001436",0.0391885435595957,0.0388030687997492,0.0139030712327008,0.022605874922199,-130.20208963709,0.0982729021291733
"ENSMUSG00000001441",0.0242207587864416,0.00221703935929023,0.00711611573055586,0.000599751853476336,-145.433164354718,0.284907334257251
"ENSMUSG00000001445",0.00147426341078706,0.000455997218235102,0.000113100945082156,5.18630001979287e-05,-158.90756482296,0.872322466911662
"ENSMUSG00000001467",0.0760584573532374,5.5218510986072e-05,0.0340670544325891,8.78686523228952e-07,-176.099269072806,0.306313866773281
"ENSMUSG00000001472",0.0232866467168496,0.000851455226827418,0.00672855369959223,0.000142622316051494,-171.88696179991,0.33156718976822
"ENSMUSG00000001473",0.591333676315595,0.170088565985178,0.497730606949056,0.126668972256298,-114.798137059298,0.0893655411308545
"ENSMUSG00000001482",0.0058471468342636,0.00303231802633774,0.000922615128622498,0.000930520372571313,-135.545789580195,0.132311980570981
"ENSMUSG00000001506",0.22742312437824,0.347889746388748,0.144644154650616,0.289441938075864,-155.954545353232,0.275210925812666
"ENSMUSG00000001521",0.128404408267013,0.267976364656317,0.0679661524495414,0.214470866051572,-93.6277448042828,0.0508040682917054
"ENSMUSG00000001524",0.0304968576730235,0.00107500456083429,0.00981314297987907,0.000207438066010234,-126.585282960609,0.380312408387872
"ENSMUSG00000001525",0.00252796627393922,8.91941885484157e-05,0.000251949737519906,2.3157620142386e-06,-144.177965480406,0.555343907596486
"ENSMUSG00000001542",0.0143488602325907,0.0003125332389532,0.00337450582354395,2.59135600137076e-05,-146.000272744717,0.317040102957107
"ENSMUSG00000001552",0.00906703841256519,0.000193464630488752,0.0017359505704459,1.06292125293653e-05,-144.767106999492,0.388079901792677
"ENSMUSG00000001569",0.000844085945593532,0.00816882280487923,4.87788360518876e-05,0.00335646940374686,-135.184447881907,0.177195303252377
"ENSMUSG00000001576",0.113808027163556,0.00544432617251396,0.0581812560976838,0.00199716487735437,-180.466687816856,0.15875540304798
"ENSMUSG00000001630",0.0117797590278762,0.023298676919858,0.00251380452286672,0.0123127848713823,-121.300221964078,0.0919587801644114
"ENSMUSG00000001632",0.035790779848392,0.000519740539567958,0.0122539956465851,6.56422725015478e-05,-127.218195236351,0.21619010014494
"ENSMUSG00000001642",0.119178549264444,0.0528594296215025,0.0616654168639643,0.0325390961237893,-143.738590295821,0.130616812650387
"ENSMUSG00000001663",3.00730969516484e-06,0.0112660142620926,6.54858057573583e-09,0.0050423434017272,-141.144810616113,0.782490984412226
"ENSMUSG00000001665",0.00162450138063528,0.000449163087689291,0.000131701619468589,5.04838244287293e-05,-92.0370903032421,0.322130754264975
