"","raw_pval_beta_cis","raw_pval_beta_trans","raw_pval_X177","raw_pval_X182","raw_pval_X187","raw_pval_X192","raw_pval_X194","raw_pval_X198","BH_FDR_beta_cis","BH_FDR_beta_trans","BH_FDR_X177","BH_FDR_X182","BH_FDR_X187","BH_FDR_X192","BH_FDR_X194","BH_FDR_X198","logLik","dispersions"
"ENSMUSG00000000056",0.413615842974837,0.496795838106201,0.370827546128306,0.861688308472877,0.307031781595633,0.457912011776347,0.361488193432366,0.561804416001526,0.172720987694518,0.171922981830387,0.283183045694966,0.825748544853154,0.223356621016723,0.375227062246212,0.284407042638496,0.477204387528265,-113.817988937292,0.0468724297839093
"ENSMUSG00000000058",0.715570335448281,0.886468322381927,0.0213733064190249,0.0307923140323159,0.00106977269633129,0.00298856329375198,0.00161897046938565,0.000999539745286976,0.498741736314957,0.727141603803065,0.00509450838095016,0.0102537889943457,1.21850156366043e-05,0.000114636682457153,3.41692259870338e-05,3.58293979047593e-05,-169.256379393349,0.300849176900345
"ENSMUSG00000000078",0.664391287516861,0.0697356364385601,0.00465834232040771,0.0876293158184423,0.172165156960703,0.649887657958515,0.556796753769193,0.767401906191924,0.430129367881519,0.002931933793313,0.000250473682554585,0.0445632500544038,0.107105760963493,0.578367357911824,0.482277389236265,0.709043369272136,-127.239704386003,0.141894121496374
"ENSMUSG00000000088",0.925971475178694,0.93074023909191,0.000481233213403325,0.000476595718675121,0.00187326245726277,0.000700161467459345,0.00127816606700011,0.0989893575367198,0.852297027823605,0.823946761072151,1.04791151997374e-06,5.58822450707847e-06,4.33015442382349e-05,3.51839933396656e-06,2.14098168676735e-05,0.0530762032621508,-199.622025499074,0.486750811163387
"ENSMUSG00000000120",0.687618143104839,0.91926734607566,0.0352408998704035,0.00794834212738247,0.411109897904219,0.00775082188859052,0.00331770201020583,0.00690984472025211,0.460024600261428,0.799316045808836,0.0118591235912296,0.00113167350222364,0.320555540158148,0.000847786715787205,0.000160605675200919,0.00103589799407465,-81.7371554315567,0.246163010312454
"ENSMUSG00000000142",0.496974472579998,0.631902574046735,0.0872361116596361,0.0629030648386279,0.125120283601083,0.0405724229541431,0.583716894129603,0.077760130201892,0.244574706941379,0.307906966147731,0.0431358461673778,0.0285645240833367,0.0712577829553905,0.0157736337816694,0.511558926312576,0.0384111597931959,-118.140055565585,0.0704870015709659
"ENSMUSG00000000148",0.741888484976392,0.753355812101534,0.756791982698552,0.25786467550902,0.696549884059598,0.137096320905665,0.659719202345981,0.0229286793341547,0.53808662310683,0.480027723489822,0.696197917752168,0.179123083640855,0.626544870586272,0.0839571439248091,0.596178408150179,0.00693237289751244,-96.9316929263648,0.0739001576326943
"ENSMUSG00000000149",0.243169597372937,0.794445486495776,0.18020497987978,0.40403308770696,0.0370723208925913,0.0661710329379451,0.0146447278565458,0.00680171686664462,0.0658227921867111,0.54959126620227,0.114009080235499,0.313142562281424,0.0133261642605529,0.0319549561072187,0.00303197380748587,0.00100487676321282,-142.147564533369,0.15775649766495
"ENSMUSG00000000184",0.0250140622150475,0.0666797264620175,0.103585099798085,0.178694410337976,0.763677563081206,0.028561847207934,0.212070044713322,0.0352253152938501,0.00164246438664969,0.0026470846183414,0.0545513490393935,0.112724145616887,0.703683463066954,0.00917615124703811,0.145891402619366,0.0129513512680069,-108.70438875314,0.166576082090352
"ENSMUSG00000000194",0.382167539622739,0.427420267654281,0.0504329825814382,0.0728693362471558,0.0604002325937912,0.0302343779781945,0.122827642479375,0.147268529019489,0.149666282686426,0.119491528762981,0.0200971634105932,0.0347258394678657,0.0269625828915333,0.0100122889887589,0.0734291216095293,0.0877937512194912,-118.485167438591,0.0705146118072607
