"","raw_pval_beta_cis","raw_pval_beta_trans","BH_FDR_beta_cis","BH_FDR_beta_trans","logLik","dispersions"
"ENSMUSG00000000056",0.437359402094625,0.478431748652838,0.18256275209712,0.143850081881381,-115.138431202043,0.0468724297839093
"ENSMUSG00000000058",0.649278981867994,0.896420861338572,0.390328687759503,0.729599491665682,-180.749736727747,0.300849176900345
"ENSMUSG00000000078",0.844181752305504,0.100520256969039,0.681567176903271,0.00489973111859136,-132.837741532504,0.141894121496374
"ENSMUSG00000000088",0.904360214112698,0.944528121881585,0.793776804346823,0.846436424131739,-212.056368294735,0.486750811163387
"ENSMUSG00000000120",0.582757728900678,0.863340687708909,0.313830167238807,0.657700745008395,-92.5706781274483,0.246163010312454
"ENSMUSG00000000142",0.431279170793947,0.674837301302574,0.178001989419813,0.344313973160409,-123.357186931572,0.0704870015709659
"ENSMUSG00000000148",0.669361772272179,0.804021638136479,0.415968538547702,0.538707965250572,-101.760236508209,0.0739001576326943
"ENSMUSG00000000149",0.322872277406102,0.814603146455794,0.105677123961729,0.558760449704602,-150.761938663138,0.15775649766495
"ENSMUSG00000000184",0.0896214633933738,0.137897643281861,0.0123098157424735,0.00933176681505389,-114.547267535492,0.166576082090352
"ENSMUSG00000000194",0.444664134433391,0.457078702022965,0.188144322207495,0.128778287571629,-125.300141721451,0.0705146118072607
"ENSMUSG00000000253",9.10608153134872e-05,0.0568769888901081,4.42338968859486e-07,0.00153386854460761,-201.088426222735,0.516593099553424
"ENSMUSG00000000275",0.178280934462053,0.580585910872382,0.0377167203057912,0.233595872347648,-137.564998763895,0.124185393900361
"ENSMUSG00000000276",0.444211828873476,0.411190885180409,0.187878537337609,0.0998704830002669,-111.187969321323,0.0896393311898755
"ENSMUSG00000000278",0.768484467146086,0.573650364254045,0.55325732659864,0.227154013584014,-135.651340755484,0.409584721287791
"ENSMUSG00000000290",0.65147512223458,0.80415533790422,0.393176694373734,0.539201644494236,-111.498114564842,0.353628151432436
"ENSMUSG00000000339",0.294589642890254,0.457426477798761,0.0901533128242033,0.128952891479952,-128.862427770267,0.122524063791488
"ENSMUSG00000000340",0.873648572023368,0.779664349199298,0.734186748047108,0.494571003420057,-169.393540788971,0.0554533811050556
"ENSMUSG00000000378",0.412191235283287,0.634000922508041,0.163978925259264,0.292256371648598,-107.175529444146,0.055403993336843
"ENSMUSG00000000384",0.435551247179056,0.780474843524937,0.180932511390965,0.496000260692397,-174.839909683536,0.198481331422308
"ENSMUSG00000000420",0.194337060776864,0.595024497013986,0.0441408801362526,0.247976708303316,-144.3490592315,0.0657075665479281
"ENSMUSG00000000439",0.676291386567491,0.855904260400693,0.425372555537844,0.640136100952947,-114.942039248166,0.0473092532224949
