"","Intercept","beta_cis","beta_trans"
"ENSMUSG00000000056",-9.62607862004424,0.0803146055896917,-0.212169271396386
"ENSMUSG00000000058",-9.04587529850616,0.293734171250561,1.04567220090296
"ENSMUSG00000000078",-9.37686070787715,-0.32463876308905,-0.0890410092137088
"ENSMUSG00000000088",-8.39250353944196,0.512685875851364,1.45553716446216
"ENSMUSG00000000120",-12.9928744934095,0.656230642028271,1.05368515158594
"ENSMUSG00000000142",-10.0938312164437,0.331628296602259,0.296520968547341
"ENSMUSG00000000148",-10.6822464368036,0.0697658964818313,-0.100204246386625
"ENSMUSG00000000149",-8.51099324926322,-0.107309507935227,-0.567397008469568
"ENSMUSG00000000184",-10.3766145522608,0.0104378466241606,-0.235370921531532
"ENSMUSG00000000194",-9.29698752063683,-0.169050779858175,-0.336530520916376
"ENSMUSG00000000253",-9.1123393411773,1.50317033329372,1.39229112777123
"ENSMUSG00000000275",-10.1851919127102,0.491409813012554,0.673957053546916
"ENSMUSG00000000276",-10.2120794154664,-0.100952335251916,-0.201034122760902
"ENSMUSG00000000278",-8.53092350866606,-0.993243421351742,-1.60369111546418
"ENSMUSG00000000290",-12.1496889396744,0.597757450317943,0.96167345071316
"ENSMUSG00000000339",-10.1712531158622,-0.032139053498117,0.58395814606075
"ENSMUSG00000000340",-7.3071040787728,-0.117543136278059,-0.23155527654871
"ENSMUSG00000000378",-10.381798709561,0.215497901225048,0.0128086778556984
"ENSMUSG00000000384",-9.08136662465592,0.497988998846943,0.914670048945207
"ENSMUSG00000000420",-8.74652540614723,-0.132428799279952,0.236797318283251
"ENSMUSG00000000439",-9.63685302572834,-0.1799986053776,-0.145900611823734
"ENSMUSG00000000440",-7.41715665178023,-0.306183638453838,-0.639786161052948
"ENSMUSG00000000441",-8.87023708494305,-0.397848616637582,-0.579891902156172
"ENSMUSG00000000530",-9.57544493432649,-0.0583080996369336,-0.211332310031363
"ENSMUSG00000000531",-10.9228049124802,-0.631973474992106,-0.262457154562354
"ENSMUSG00000000532",-11.3795378506474,0.242908953329044,0.512447268657294
"ENSMUSG00000000568",-9.11803893943888,-0.219726838764496,-0.468409411195951
"ENSMUSG00000000581",-9.92115820483367,-0.565488033324465,-0.695363665663468
"ENSMUSG00000000594",-6.71917873071746,-2.12948783267751,-2.7998405829222
"ENSMUSG00000000628",-6.15836110788336,-0.233054859437871,-0.0221299823473533
"ENSMUSG00000000631",-8.08445499403675,-0.411288333610154,-0.307338457908621
"ENSMUSG00000000708",-8.14599460378641,-0.608988681767821,-0.790440364570852
"ENSMUSG00000000738",-7.72090330810955,-0.765256514070767,-1.4072804414327
"ENSMUSG00000000740",-8.89399068489622,0.2574087881104,0.537060732898775
"ENSMUSG00000000743",-9.13436339339789,-0.384793260209277,-0.474119024774252
"ENSMUSG00000000751",-9.4692161819882,-0.467963647561936,-0.750000211999408
"ENSMUSG00000000759",-9.76342782012674,-0.114345637591303,-0.186502926454711
"ENSMUSG00000000776",-10.6723299860998,0.172497686238007,0.804988399879667
"ENSMUSG00000000811",-10.5628260814008,0.0454947027853656,0.393076591536751
"ENSMUSG00000000826",-8.31298560358169,-0.182055284357782,-0.265113413013715
"ENSMUSG00000000876",-9.42502627827693,0.330726195253513,0.87648983426182
"ENSMUSG00000000902",-9.92904464504614,0.290975059730432,0.324199535726475
"ENSMUSG00000000957",-9.37290588188639,-1.67905505085471,-2.00990113961893
"ENSMUSG00000000976",-9.39206113046345,-0.770727177567187,-1.25525764455065
"ENSMUSG00000001029",-10.2595654227425,-0.397156285405895,-0.483645229086553
"ENSMUSG00000001052",-9.34496201819568,0.0520045355598597,-0.1181896202785
"ENSMUSG00000001054",-10.9366152994108,0.276175462000568,1.0506161807943
"ENSMUSG00000001062",-9.81245832555782,-0.361919716208629,-0.367503737027045
"ENSMUSG00000001065",-11.2134873793251,0.341844482849583,0.366648599388966
"ENSMUSG00000001089",-8.65278610335658,-0.00499966502738225,0.264839221182692
"ENSMUSG00000001105",-10.0780151675779,0.0335369744599117,0.0661818173275908
"ENSMUSG00000001119",-9.39379863024438,0.295465911333713,0.483322483380061
"ENSMUSG00000001120",-11.0981153899293,0.209582371600847,0.380887318634521
"ENSMUSG00000001123",-8.61817684123371,-0.309103648678242,-0.63509819889692
"ENSMUSG00000001138",-10.2079726163691,0.0674961266282779,0.273089486540782
"ENSMUSG00000001143",-9.53475268863473,0.0635875916572388,0.570164457850209
"ENSMUSG00000001150",-9.72800020426558,0.20459457823566,0.0794776876183789
"ENSMUSG00000001151",-9.94670662550559,0.0330657692954368,0.103149295688135
"ENSMUSG00000001175",-6.78610886306075,-0.563999103696204,-0.873748606140465
"ENSMUSG00000001211",-6.78252435042234,0.00491373772298331,0.25249607411946
"ENSMUSG00000001229",-9.27835921565669,-0.4503278515116,-0.345223750578617
"ENSMUSG00000001240",-10.9188804922339,0.456743160163791,1.02799797866168
"ENSMUSG00000001248",-8.14971068012664,-1.52260276319203,-1.05719428466614
"ENSMUSG00000001280",-8.27278032126136,-0.612593325876588,-1.1649277379657
"ENSMUSG00000001288",-10.4584631593304,0.255368082853661,0.626924210382866
"ENSMUSG00000001323",-9.57044902126017,-0.221538138687004,-0.153863200069235
"ENSMUSG00000001334",-12.8074897957381,1.72799258913117,0.556195997934246
"ENSMUSG00000001348",-8.81482838659082,0.39942012538457,-0.193484405032965
"ENSMUSG00000001366",-9.08333247585171,0.0990094201593603,0.258889173263928
"ENSMUSG00000001380",-9.58418076247503,-0.0497443228507652,-0.463300213571005
"ENSMUSG00000001415",-6.16150765504391,-2.50405196324224,-2.93932404862108
"ENSMUSG00000001418",-8.41864881504232,-0.74239938341081,-1.10644300855116
"ENSMUSG00000001419",-6.04361479469092,-1.99969466236606,-2.47921399340392
"ENSMUSG00000001420",-7.22261056889161,-1.34453813254783,-1.7376805473716
"ENSMUSG00000001424",-9.13326424374736,-0.433722108355493,-0.562311189517859
"ENSMUSG00000001435",-10.1793563455623,0.124755652985524,-0.733704421091426
"ENSMUSG00000001436",-9.98232360090438,0.339762763022971,0.389577261442399
"ENSMUSG00000001441",-8.32179394632328,-0.646357003021944,-0.98343041763002
"ENSMUSG00000001445",-6.83539292056858,-1.70817148499629,-2.0568196369003
"ENSMUSG00000001467",-9.26129991746406,0.482049144938034,1.33619745293836
"ENSMUSG00000001472",-7.10790867763579,-0.689761964438931,-1.14570361927116
"ENSMUSG00000001473",-9.99808567378507,0.0917197498714124,-0.259773162745912
"ENSMUSG00000001482",-10.0966378078733,0.510089443424739,0.640626627525165
"ENSMUSG00000001506",-8.65453667076539,-0.328482219060414,-0.288432507183543
"ENSMUSG00000001521",-11.1906327270233,0.2430557178333,0.186461015953778
"ENSMUSG00000001524",-11.5360276267125,0.670387219417437,1.21459988369536
"ENSMUSG00000001525",-7.67391886143134,-1.26452617229545,-1.82760556588611
"ENSMUSG00000001542",-8.06198747805156,-0.744470415632135,-1.2319633700132
"ENSMUSG00000001552",-7.99240918478331,-0.886861253948899,-1.42163541604194
"ENSMUSG00000001569",-10.3693538430368,0.707792950669845,0.659437354635067
"ENSMUSG00000001576",-8.25585478294011,0.312202882013411,0.647059868175477
"ENSMUSG00000001630",-9.30789324718125,-0.440670093015102,-0.436354021793552
"ENSMUSG00000001632",-8.96233350356789,-0.540045339417427,-0.997567411746102
"ENSMUSG00000001642",-9.58321361401038,0.287950707832671,0.413490572245825
"ENSMUSG00000001663",-11.9147525748213,2.02238174257746,1.34296067996711
"ENSMUSG00000001665",-13.1312724486717,0.983665679856159,1.25290434398189
"ENSMUSG00000001666",-8.86205526838771,-0.853086758767422,-1.05898009365933
"ENSMUSG00000001700",-11.0575310374341,0.116267355995134,0.919277376989333
"ENSMUSG00000001707",-10.8948080196652,-0.0465711210322617,0.460959731335313
"ENSMUSG00000001729",-8.38738219663926,-0.310336744133368,-0.108820717708474
"ENSMUSG00000001751",-10.9983267738411,0.0219889263155224,0.0309284852257665
"ENSMUSG00000001755",-8.17441036778255,-0.0688539373225092,0.182899997279442
"ENSMUSG00000001767",-10.4221192793568,0.199120499057019,0.564737019609062
"ENSMUSG00000001768",-9.46386696677949,-0.105485047175843,-0.0264214805233216
"ENSMUSG00000001774",-7.64655354445137,-1.29972160590394,-1.68673933372301
"ENSMUSG00000001783",-9.38366665610383,0.09463910323257,0.303605924705355
"ENSMUSG00000001785",-10.9153061697913,0.349911405310172,1.02861296931659
"ENSMUSG00000001786",-11.1383739944866,-0.331115945135643,0.214694265541699
"ENSMUSG00000001794",-7.88125813231656,0.315233656871284,1.28646127389958
"ENSMUSG00000001802",-10.8816764525527,0.989328451096082,0.655109110590626
"ENSMUSG00000001829",-7.02781393751036,-1.2324135828143,-1.94185958850264
"ENSMUSG00000001844",-10.5170685019142,0.474422933962455,0.882142751803666
"ENSMUSG00000001847",-7.64818949024262,-0.484136493672191,-0.807353580433682
"ENSMUSG00000001855",-10.0485850205598,0.120500045290534,0.294373445636815
"ENSMUSG00000001870",-10.1508672213482,-0.46994979057936,-0.541683603107904
"ENSMUSG00000001891",-3.81181948274107,-3.68630322006405,-4.12969299056667
"ENSMUSG00000001911",-6.02127293402383,-2.13925366777754,-2.47450249772904
"ENSMUSG00000001930",-9.923307585231,-0.00983200329785383,0.0981712514545769
"ENSMUSG00000001942",-10.2959648965812,0.20376876989995,0.473576908239272
"ENSMUSG00000001943",-11.3307810530131,0.324800511161607,0.821990469509007
"ENSMUSG00000001946",-8.78765666772156,-0.666340094897834,-0.97491042383116
"ENSMUSG00000001983",-9.65936263793918,0.440503157709276,0.121361118695633
"ENSMUSG00000001995",-10.427401050538,-0.0457078636597981,0.143815460771828
"ENSMUSG00000001998",-11.1214483475294,0.458991143481851,0.626658891067988
"ENSMUSG00000001999",-10.0734489457162,0.019895024379764,0.838221968354928
"ENSMUSG00000002020",-8.95562097011905,0.303194009407909,0.349489050608803
"ENSMUSG00000002028",-8.86520195692164,-0.0117453471367561,0.0948575445909583
"ENSMUSG00000002032",-12.1923120044991,0.0857546037911021,0.806867242637841
"ENSMUSG00000002052",-8.17224504738977,-0.197873628503,-0.298874045768216
"ENSMUSG00000002059",-9.51156501356428,0.306022256601187,1.18808626238935
"ENSMUSG00000002103",-7.73273576091192,-1.8710104661407,-2.39804535896161
"ENSMUSG00000002107",-8.0324178461504,-0.18133035899597,-0.197531094330072
"ENSMUSG00000002108",-8.48644100319544,-0.551125823374658,-0.9007958554912
"ENSMUSG00000002111",-13.1640148775313,0.322203507635573,0.782809789550102
"ENSMUSG00000002129",-8.02785696934155,-1.69586376027357,-2.43361071609659
"ENSMUSG00000002147",-8.34064086240854,-0.438936434623757,-0.811283033341461
"ENSMUSG00000002205",-10.2592886606724,0.38661404137591,0.53238327569651
"ENSMUSG00000002210",-10.5260900309349,-0.0903345409216794,0.0134523238186723
"ENSMUSG00000002221",-10.1572793437095,0.0838615571680315,0.189565190696911
"ENSMUSG00000002250",-8.99765730968597,-0.239733193842699,0.15780121973426
"ENSMUSG00000002280",-9.68259264972731,0.275793734517563,0.584652690594103
"ENSMUSG00000002307",-10.6504731091385,0.283994984551933,0.423252850708216
"ENSMUSG00000002308",-11.3351330494429,0.0513288846911752,0.560661729692205
"ENSMUSG00000002319",-10.5700093306431,-0.225568183790999,-0.121256329388583
"ENSMUSG00000002325",-10.8200317339667,-0.0165354682573771,0.0329088761305112
"ENSMUSG00000002326",-11.691706244458,-0.119324085061969,0.264598621230578
"ENSMUSG00000002346",-8.05116895657566,-0.0941131529746801,-0.250429031267885
"ENSMUSG00000002365",-9.63554317150502,0.722424138395858,1.07965269728892
"ENSMUSG00000002413",-9.05929264885214,-0.51517706072198,-0.585130956351282
"ENSMUSG00000002428",-10.7158174700359,0.186530003456108,0.26883586427955
"ENSMUSG00000002455",-8.7682345126374,-0.628868101272033,-1.02083478400357
"ENSMUSG00000002458",-11.4777749218525,0.0685190744284263,0.557537174628102
"ENSMUSG00000002475",-11.2002965743335,-0.768080546584011,0.279438657694291
"ENSMUSG00000002504",-8.84966206895,-0.167420790360632,0.028062911792718
"ENSMUSG00000002524",-8.36786903599421,-0.746867712261144,-0.95637993449142
"ENSMUSG00000002550",-6.91405036232003,-0.389840216259276,-0.954432992897922
"ENSMUSG00000002588",-13.0975901219278,0.547420172516864,0.342365519693757
"ENSMUSG00000002602",-8.94874698099779,-0.707247909593621,-1.03173761531706
"ENSMUSG00000002625",-9.3733998681377,-0.0149057061475215,-0.213228349268565
"ENSMUSG00000002635",-11.6046726717698,0.419100227000417,0.358328493420872
"ENSMUSG00000002668",-12.4032062767542,-0.0999985103817842,0.398328373763482
"ENSMUSG00000002728",-9.420341671776,0.0855273651674224,-0.000860918266436528
"ENSMUSG00000002741",-8.86979318111699,-0.274730833033642,-0.605270029835147
"ENSMUSG00000002748",-7.74580052235086,-0.64994070875569,-1.13199983842883
"ENSMUSG00000002763",-8.60810959556543,-0.045357858573646,0.729287159760009
"ENSMUSG00000002781",-8.58968618128365,0.617349639196673,0.398743918565524
"ENSMUSG00000002797",-12.4381616736216,0.654450696101897,0.894878601904505
"ENSMUSG00000002803",-9.66065937559035,-0.985836907729951,-1.16265318557449
"ENSMUSG00000002812",-7.66473540296314,-0.544633055154272,-1.07081259991084
"ENSMUSG00000002814",-10.8915510626891,-0.500812759896091,-0.562941396888545
"ENSMUSG00000002820",-9.44260459837861,0.134996862499426,0.371030154540726
"ENSMUSG00000002844",-9.81359031864059,-0.48491365024911,-0.425407201757173
"ENSMUSG00000002846",-10.0723258381681,0.154079173708631,1.25794121164424
"ENSMUSG00000002847",-11.6138803142422,0.265136602911094,0.414667197786278
"ENSMUSG00000002870",-11.9205160872507,-0.198719997271064,0.111272222938286
"ENSMUSG00000002871",-10.4652399213956,-0.162733746523246,0.230859319941565
"ENSMUSG00000002881",-8.32200444830213,-0.535149091972649,-0.657313250574445
"ENSMUSG00000002885",-8.9955117389224,-0.371715663317776,-0.254638007804594
"ENSMUSG00000002897",-11.5641966057941,-0.223003579346548,-0.411163878392747
"ENSMUSG00000002900",-8.32165271195521,-0.23143070550222,-0.13299722049543
"ENSMUSG00000002944",-6.04763893269549,0.422066867106887,0.720116388448271
"ENSMUSG00000002949",-8.5907022509432,0.357470537273155,0.717317800360502
"ENSMUSG00000002957",-7.81407834387587,-0.522698984381361,-0.582129099156594
"ENSMUSG00000002981",-8.3757372425866,0.368600919322111,0.760496795082299
"ENSMUSG00000002996",-8.71867250138793,-0.867763558238183,-1.48318659520109
"ENSMUSG00000002997",-6.35212036026632,0.189532880121844,0.86088533033751
"ENSMUSG00000003031",-8.6841435579518,-0.857679617748389,-1.25803427290023
"ENSMUSG00000003033",-8.87782600506523,0.0254729118873858,0.175976265048769
"ENSMUSG00000003039",-7.55995585593662,-1.24613549085598,-1.74803784902717
"ENSMUSG00000003062",-11.8476179538153,0.207633239280929,0.74864719349956
"ENSMUSG00000003068",-8.41532110365135,0.11753672428731,0.0432277010939632
"ENSMUSG00000003119",-8.85985681084161,-0.616936675276653,-1.17646936589601
"ENSMUSG00000003123",-6.33016479224137,0.195463155710695,-0.097638894589303
"ENSMUSG00000003131",-9.39532835355526,0.0982126857463328,0.365919317736823
"ENSMUSG00000003134",-10.6553606007216,0.269551679533294,0.26849081272746
"ENSMUSG00000003154",-9.88621455374772,0.108339283361934,0.388448131760661
"ENSMUSG00000003161",-9.86704848684685,0.211768329432998,0.675445128699046
"ENSMUSG00000003226",-6.45973427341559,-2.19736048942789,-2.70985114422296
"ENSMUSG00000003228",-8.47998745174386,-0.754163589399669,-0.96908071672015
"ENSMUSG00000003269",-10.3804165509702,0.551911735475706,1.00885313628331
"ENSMUSG00000003273",-11.306236908436,0.195869889934755,1.05934377802747
"ENSMUSG00000003299",-6.57888867711011,-2.03573706847118,-2.72193699317787
"ENSMUSG00000003308",-9.16215263819951,-0.220637755899856,-0.193445410499365
"ENSMUSG00000003360",-9.45197076322768,0.438861273060937,0.554270883866195
"ENSMUSG00000003363",-9.52124246221872,-0.298866811896232,-0.462409075597186
"ENSMUSG00000003378",-11.1983076969485,0.548574531121693,-0.103623545269148
"ENSMUSG00000003382",-9.58043997229727,0.267330109301177,0.502697564040568
"ENSMUSG00000003420",-8.19188320518094,-0.169047538096185,-0.248584176860192
"ENSMUSG00000003435",-8.60122630009109,-0.120998947533554,-0.272229140484813
"ENSMUSG00000003438",-8.55690743511046,-0.515009016634048,-0.537360035782065
"ENSMUSG00000003458",-9.2260866835157,-0.274533417355551,-0.702907371429676
"ENSMUSG00000003464",-7.47030287280677,-0.420291412468302,-0.882552046727014
"ENSMUSG00000003477",-13.323355036666,1.03000961858137,0.992466496629484
"ENSMUSG00000003518",-8.45263452593514,0.0776332088587246,0.645211176022368
"ENSMUSG00000003534",-11.6919781612717,0.293010028442248,0.540363252610577
"ENSMUSG00000003546",-9.7058597420178,0.0550173588890637,-0.296348098081507
"ENSMUSG00000003559",-11.2785292342882,0.371835912124499,0.0631859193173216
"ENSMUSG00000003581",-11.037557231684,0.078407242598086,0.347021180369342
