"","Intercept","beta_cis","beta_trans"
"ENSMUSG00000000056",-9.72382217109822,0.121720075657933,-0.141518962991152
"ENSMUSG00000000058",-7.95823422404688,-0.11872799473225,-0.0669986571591049
"ENSMUSG00000000078",-9.90341765639709,0.0498943218064336,0.534100615666347
"ENSMUSG00000000088",-6.96685655590659,0.0380456531633994,0.0500670950439936
"ENSMUSG00000000120",-12.0005453533374,0.177263797440987,0.085124247287092
"ENSMUSG00000000142",-9.72411688065511,0.129017846543711,-0.0984616354135026
"ENSMUSG00000000148",-10.7281133606753,0.0910800519382613,-0.0660691320793118
"ENSMUSG00000000149",-9.1456682000754,0.276614792381251,0.0809672586836859
"ENSMUSG00000000184",-11.0832490012704,0.516968703956244,0.55459423107668
"ENSMUSG00000000194",-9.78085407188955,0.146827539833122,0.1779036711674
"ENSMUSG00000000253",-8.5581491580247,1.41741243276697,1.21144491476739
"ENSMUSG00000000275",-9.63050300709919,0.258898373891071,0.169854967102452
"ENSMUSG00000000276",-10.6049323790466,0.17320284676019,0.230675568897082
"ENSMUSG00000000278",-9.80580365406357,-0.172240393857845,-0.368909389886214
"ENSMUSG00000000290",-11.096402687233,0.143536575885165,-0.13906728269256
"ENSMUSG00000000339",-9.75061518622364,-0.210308112475936,0.226215553687154
"ENSMUSG00000000340",-7.49601577383666,-0.023305744609561,-0.0547819762705608
"ENSMUSG00000000378",-10.2830783364342,0.143051056723799,-0.106752818465803
"ENSMUSG00000000384",-8.23954036054644,0.171382789811596,0.111223214421261
"ENSMUSG00000000420",-8.59520576200557,-0.195111180294707,0.114869853964723
"ENSMUSG00000000439",-9.81264482994072,-0.0669238564486407,0.0368045631009098
"ENSMUSG00000000440",-8.02838289037713,0.0459346069474231,-0.0345665433587396
"ENSMUSG00000000441",-9.49175201342778,-0.0157942296402333,0.0499883957155676
"ENSMUSG00000000530",-9.66458378671387,-0.0247772029624245,-0.153764669099169
"ENSMUSG00000000531",-10.9784570848809,-0.616781054455715,-0.252248609489367
"ENSMUSG00000000532",-10.8784179869929,-0.0484730464653724,0.0145552976666156
"ENSMUSG00000000568",-9.58789867370762,0.0616661541901648,0.00176023790453307
"ENSMUSG00000000581",-10.8611034516869,0.0748780947186103,0.283604876892242
"ENSMUSG00000000594",-10.134171288256,0.638943924692641,0.62763205693621
"ENSMUSG00000000628",-6.00267542001387,-0.338057667701833,-0.243207999812582
"ENSMUSG00000000631",-8.44684916455629,-0.197687708859678,0.0687481517193645
"ENSMUSG00000000708",-8.95451958100914,-0.112623044325865,0.0213226432038197
"ENSMUSG00000000738",-9.07586371310938,0.127555345669074,-0.0582370889701118
"ENSMUSG00000000740",-8.35568138644819,0.0178224303580914,-0.00180885544447729
"ENSMUSG00000000743",-9.49722954328374,-0.182857686740068,-0.137036413682607
"ENSMUSG00000000751",-10.162490404206,-0.0323271029308711,-0.0670717466136312
"ENSMUSG00000000759",-9.84827238201682,-0.0729629524350085,-0.123405983845092
"ENSMUSG00000000776",-9.50003437480514,-0.328686657088768,-0.590753489679387
"ENSMUSG00000000811",-10.3882798669531,-0.0235212303308887,0.276167441382974
"ENSMUSG00000000826",-8.54881689485593,-0.0544203451526354,-0.0369922976784645
"ENSMUSG00000000876",-8.52669141894656,-0.0310128582043333,-0.0336325210537961
"ENSMUSG00000000902",-9.57136331137855,0.09968004104755,-0.0448912563867374
"ENSMUSG00000000957",-11.3417046829049,-0.207388152887401,-0.0447786359270104
"ENSMUSG00000000976",-10.3983220163611,-0.126491746051109,-0.286544754241408
"ENSMUSG00000001029",-10.5554413692369,-0.228367248344288,-0.22781140411223
"ENSMUSG00000001052",-9.4684822908426,0.123449367261103,0.00670952981724257
"ENSMUSG00000001054",-9.86332484051722,-0.151026521135481,-0.0355119865477884
"ENSMUSG00000001062",-10.1788327857427,-0.120615453625153,-0.00135306081361933
"ENSMUSG00000001065",-10.750388678688,0.0676522748191669,-0.125806803729912
"ENSMUSG00000001089",-8.55940193588411,-0.024060038880133,0.228134270843379
"ENSMUSG00000001105",-9.81124165515504,-0.149522801284382,-0.260356733046739
"ENSMUSG00000001119",-8.81723516004893,0.0228268848988466,-0.135260571389597
"ENSMUSG00000001120",-10.6359023974662,-0.0548520521327746,-0.108103391788744
"ENSMUSG00000001123",-9.21946727825684,0.04426183196819,-0.040747933816151
"ENSMUSG00000001138",-9.75436244387254,-0.198137578650401,-0.246168471436848
"ENSMUSG00000001143",-8.92926426125173,-0.212357528720227,-0.0514279174262149
"ENSMUSG00000001150",-9.51392222515304,0.0647387226648284,-0.175088342917787
"ENSMUSG00000001151",-9.62040984378618,-0.181731030678282,-0.295737226300481
"ENSMUSG00000001175",-7.78846621012085,0.0751831597409317,0.14883271277425
"ENSMUSG00000001211",-6.59975249708453,-0.0711949398877988,0.0955390930535718
"ENSMUSG00000001229",-9.57089082537642,-0.286670627999665,-0.0657594871157144
"ENSMUSG00000001240",-10.0468971443009,0.118519674405008,0.234376332678155
"ENSMUSG00000001248",-8.01303158233304,-1.76667861607078,-1.63305417539803
"ENSMUSG00000001280",-9.18044656283861,-0.0769184134560953,-0.298988508614484
"ENSMUSG00000001288",-9.92086958836052,0.0147530302795432,0.125534312328752
"ENSMUSG00000001323",-9.52470667044755,-0.27804517829861,-0.252493202532014
"ENSMUSG00000001334",-13.4816246133207,2.32493442900452,1.44521301607559
"ENSMUSG00000001348",-9.00195650236822,0.498822485265253,-0.00811234549367949
"ENSMUSG00000001366",-8.78447804691784,-0.0568111957831357,-0.0545447089228582
"ENSMUSG00000001380",-10.20944162862,0.344807704782917,0.194538810912404
"ENSMUSG00000001415",-9.22138232799738,-0.0845779352891139,0.123787569288282
"ENSMUSG00000001418",-9.3928953174722,-0.138899871140797,-0.152973004997832
"ENSMUSG00000001419",-8.51201868675273,-0.140415891296082,-0.011382085142503
"ENSMUSG00000001420",-9.34641960231028,0.224837503076973,0.410332288347402
"ENSMUSG00000001424",-9.56080522160776,-0.18900170971052,-0.164311638981179
"ENSMUSG00000001435",-11.0319070402201,0.676178190059466,0.137909465707636
"ENSMUSG00000001436",-9.64918983678401,0.18468998297814,0.0770120483109342
"ENSMUSG00000001441",-9.45262299364807,0.0983902733492618,0.168292040439043
"ENSMUSG00000001445",-9.17957136964232,0.0518311471190532,0.301729924265026
"ENSMUSG00000001467",-8.20853380849947,0.130957010910754,0.445584209637561
"ENSMUSG00000001472",-8.36821187157793,0.1418941541474,0.129129536401391
"ENSMUSG00000001473",-10.4166117282761,0.36984301566078,0.191050299227209
"ENSMUSG00000001482",-9.49556114864764,0.247982047580896,0.0570103132569637
