"","raw_pval_beta_cis","raw_pval_beta_trans","BH_FDR_beta_cis","BH_FDR_beta_trans"
"ENSMUSG00000000056",0.30730015392505,0.870895942793798,0.0919763899741754,0.679496732710575
"ENSMUSG00000000058",0.758991055468099,0.757268573103592,0.531306609627321,0.46126991938072
"ENSMUSG00000000078",0.691070419262947,0.706623006746779,0.435830233888231,0.379134338366425
"ENSMUSG00000000088",0.949738027930948,0.988873146028936,0.882417272347577,0.972271748461213
"ENSMUSG00000000120",0.734806826786516,0.377394318478758,0.495935419808433,0.0849249212517063
"ENSMUSG00000000142",0.905790215735425,0.184983834718355,0.789052796037456,0.0176294582180288
"ENSMUSG00000000148",0.134132215116456,0.278310099765589,0.0231097728604916,0.0432308040334542
"ENSMUSG00000000149",0.226964104330391,0.445759968448891,0.0543066561319624,0.123288877147726
"ENSMUSG00000000168",0.179442772993417,0.255432368585427,0.0370327038719668,0.0360386180537689
"ENSMUSG00000000184",0.615557708651018,0.723999912541365,0.342695600729404,0.40564621180883
"ENSMUSG00000000194",0.901557925584867,0.700288519160417,0.781543855450202,0.369322925994386
"ENSMUSG00000000253",0.00025264090866707,0.212246027807883,2.09927158295514e-06,0.0235748937110672
"ENSMUSG00000000275",0.49063821031216,0.599806582277091,0.217488262125824,0.24828351150388
"ENSMUSG00000000276",0.7617211352776,0.363287550349699,0.535671959979007,0.0778693341770425
"ENSMUSG00000000278",0.951195977469787,0.966119106507589,0.886191402445143,0.9133651040834
"ENSMUSG00000000290",0.253355380064514,0.663043949085939,0.0654762759400237,0.319884693089621
"ENSMUSG00000000339",0.909046186513566,0.167986842479967,0.795434682450399,0.0147276916333971
"ENSMUSG00000000340",0.847822543173776,0.491550126315882,0.68205361112708,0.154291891438137
"ENSMUSG00000000378",0.1032412528063,0.694069918850551,0.0150563807721584,0.361099967955484
"ENSMUSG00000000384",0.630985399326045,0.720235374765291,0.361663667919626,0.400605736684781
"ENSMUSG00000000420",0.0962455958882378,0.95864755581617,0.0133996327326171,0.895084524728477
"ENSMUSG00000000439",0.21472872766306,0.550432837578023,0.0496676249842994,0.201803594173933
"ENSMUSG00000000440",0.960255820208471,0.556148384332216,0.90733346281187,0.207011311448061
"ENSMUSG00000000441",0.583777477975703,0.43495775109857,0.307381561660939,0.116760746140247
"ENSMUSG00000000489",0.687973531053205,0.893835607479447,0.43119385632909,0.727861384961219
"ENSMUSG00000000530",0.66886634573005,0.831049991967537,0.407535489267097,0.597814832275104
"ENSMUSG00000000532",0.724570844388125,0.998309037225524,0.483252014749618,0.994923217190844
"ENSMUSG00000000568",0.360281511426835,0.429209193202598,0.12384104182842,0.113034064277367
"ENSMUSG00000000581",0.882207509004163,0.759656394178581,0.741730512064209,0.464141425847961
"ENSMUSG00000000594",0.882667805532012,0.863225957946608,0.742865918069421,0.662826375713455
"ENSMUSG00000000628",0.0190185846015297,0.275663876920565,0.00117717201620457,0.0418848285095517
"ENSMUSG00000000631",0.592245853153819,0.752181124849594,0.316962508487952,0.452431142927168
"ENSMUSG00000000708",0.628813658408397,0.796705788675581,0.358819393003944,0.530011329315636
"ENSMUSG00000000738",0.91139177752467,0.746965654916305,0.800732711438921,0.443340646465502
"ENSMUSG00000000740",0.475509365795998,0.576670804849103,0.204089232631791,0.226287305820048
"ENSMUSG00000000743",0.426079480957891,0.693551137341562,0.168134127893677,0.360242010119926
"ENSMUSG00000000751",0.964754188645629,0.908537395818478,0.91681914077838,0.764021866349641
"ENSMUSG00000000759",0.812217506386986,0.900867061771414,0.618012540471156,0.744128108850019
"ENSMUSG00000000776",0.434403339151985,0.567176893784897,0.173849733830538,0.217368115983359
"ENSMUSG00000000811",0.15859405551163,0.641439459540281,0.0306591865835608,0.294015746843714
"ENSMUSG00000000826",0.820669069090084,0.96336396659613,0.633767498836059,0.906022818168922
"ENSMUSG00000000876",0.928715977505103,0.953964424293972,0.838001986824598,0.881814494968025
"ENSMUSG00000000902",0.831076497327831,0.847578808963384,0.651247158580957,0.632701698669971
"ENSMUSG00000000942",0.578611856790455,0.713647630702069,0.30191430953777,0.391132633954398
"ENSMUSG00000000957",0.690372221237724,0.699672969205155,0.434453334409563,0.368523697193693
"ENSMUSG00000000976",0.450443110207354,0.443700244628447,0.185539480192244,0.12211726251178
"ENSMUSG00000001052",0.962878387109752,0.442358915999427,0.912260734065149,0.121448038833826
