"","Intercept","beta_cis","beta_trans"
"ENSMUSG00000000056",-9.7803167579327,0.168750145686482,0.0338496709598502
"ENSMUSG00000000058",-7.67221140866648,-0.0770022445284853,-0.149612749651581
"ENSMUSG00000000078",-9.40288697117473,-0.0918670596578345,0.110630653780322
"ENSMUSG00000000088",-6.82819126424542,0.0192954718479267,0.00932858554938827
"ENSMUSG00000000120",-12.1384925970009,0.111517343716581,0.40977489783602
"ENSMUSG00000000142",-9.4154285539968,-0.0208053336693422,-0.332159814195217
"ENSMUSG00000000148",-10.298093497578,-0.269946626717201,-0.239195889915224
"ENSMUSG00000000149",-9.33699982820921,0.402409717684891,0.304132103442464
"ENSMUSG00000000168",-7.61911818343595,1.0268327020978,1.07444678798876
"ENSMUSG00000000184",-10.3319047089798,0.148446759191225,-0.133512758142289
"ENSMUSG00000000194",-9.58110732410273,0.020076381050772,0.0789116821561316
"ENSMUSG00000000253",-9.01432926800264,1.31846394846577,0.760411751325442
"ENSMUSG00000000275",-9.43070688152143,0.121173736541556,0.141491228713493
"ENSMUSG00000000276",-10.3608112243553,-0.0567866482651587,0.209332244736995
"ENSMUSG00000000278",-10.0506471565944,0.0493572881840664,-0.0374463596007201
"ENSMUSG00000000290",-11.2967364780381,0.367640431374815,0.264285561782548
"ENSMUSG00000000339",-9.86554202292888,-0.0185724007453689,0.319432955569235
"ENSMUSG00000000340",-7.5899236173625,-0.0328374890264427,0.161569683204148
"ENSMUSG00000000378",-10.2022409230494,0.316006083714413,-0.103433959713842
"ENSMUSG00000000384",-8.1021479217806,0.0971830112909857,0.127125432987102
"ENSMUSG00000000420",-8.51626915494428,-0.226218151047553,-0.00996717297286206
"ENSMUSG00000000439",-9.61249628231776,-0.191594502690026,0.119299377449136
"ENSMUSG00000000440",-7.79145558253113,-0.0133435151738542,-0.193584779972222
"ENSMUSG00000000441",-9.45731055662851,0.118456618892843,0.209879439063911
"ENSMUSG00000000489",-9.75080261704741,0.130263461847553,0.052733524169816
"ENSMUSG00000000530",-9.85404588841731,0.0811601080275682,-0.052299467263476
"ENSMUSG00000000532",-10.7461541127637,-0.0736150904046367,0.000552354673780738
"ENSMUSG00000000568",-9.27388819527561,-0.243718591081515,-0.2584786990938
"ENSMUSG00000000581",-10.5410258608892,-0.0597432144113621,0.145077776868947
"ENSMUSG00000000594",-9.68094507716238,0.276922060567006,0.333631900461075
"ENSMUSG00000000628",-6.08750716996371,-0.402054604563966,-0.271049675393999
"ENSMUSG00000000631",-8.54503206326437,-0.112424103068514,0.0840076969990729
"ENSMUSG00000000708",-8.73773537901638,-0.178938270735088,-0.112358133188615
"ENSMUSG00000000738",-8.62439091939181,-0.0743592096587135,-0.239088009799081
"ENSMUSG00000000740",-8.3072575402406,0.124317186786978,0.156106114029678
"ENSMUSG00000000743",-9.37061979734111,-0.197290242526254,-0.121905975342319
"ENSMUSG00000000751",-10.1164374261559,0.0137993791337572,0.0428161848334273
"ENSMUSG00000000759",-9.86596394446709,0.037905243900141,-0.0257373320246381
"ENSMUSG00000000776",-9.47371524874507,-0.22264186243122,-0.324879169986903
"ENSMUSG00000000811",-9.95895633971989,-0.256776851078907,0.121646789810413
"ENSMUSG00000000826",-8.4690957217328,-0.033864819489609,0.00890555511602635
"ENSMUSG00000000876",-8.52510628642772,0.0210159780239313,0.0252134059818297
"ENSMUSG00000000902",-9.3067283602722,0.0369172764861977,-0.0508033420722273
"ENSMUSG00000000942",-9.69956296403677,0.12272100896483,-0.131667196973007
"ENSMUSG00000000957",-10.8338374983135,-0.183684714084207,-0.207725889013293
"ENSMUSG00000000976",-10.200066237853,-0.443446889139704,-0.505987756416536
"ENSMUSG00000001052",-9.22158184982483,0.00679416458517633,-0.144311915916468
"ENSMUSG00000001054",-9.93473762036258,-0.0388042272558657,0.203306738730702
"ENSMUSG00000001062",-10.1900344621664,-0.016937452886752,0.0701568064953038
"ENSMUSG00000001065",-10.4634137465614,-0.098179559292663,-0.174890945209225
"ENSMUSG00000001089",-8.42695316788693,-0.0300899987399855,-0.0398905816110082
"ENSMUSG00000001105",-9.36407027922184,-0.430835536722613,-0.546762868232401
"ENSMUSG00000001119",-8.52095689642404,-0.00942225351833641,-0.0797296230885645
"ENSMUSG00000001120",-11.1517844258046,0.308330236387022,0.1479618278463
"ENSMUSG00000001123",-9.40399331409131,0.134443655532114,0.0451144004427525
"ENSMUSG00000001138",-9.51962588743308,-0.2440924608715,-0.316221209712954
"ENSMUSG00000001143",-9.19364769403387,-0.24935593689264,-0.0243399852146114
"ENSMUSG00000001150",-9.65934200948426,0.20094289795073,0.10882300515891
"ENSMUSG00000001151",-9.79116176726343,-0.0193359009978797,-0.0470903499832672
"ENSMUSG00000001175",-7.94938429477876,0.0957599161919059,0.164787978473453
"ENSMUSG00000001211",-6.63451506527329,-0.11511620367754,0.024100710697662
"ENSMUSG00000001229",-9.62424568433767,-0.240165438653117,-0.0455507804236826
"ENSMUSG00000001240",-9.80773388853559,0.0483681047769165,0.263289503454423
"ENSMUSG00000001248",-8.38596213914353,-0.972298002846418,-0.831608343505617
"ENSMUSG00000001249",-12.5023093962134,-2.49694256299669,-1.66561499813955
"ENSMUSG00000001280",-9.34779619222462,0.146123065989776,0.0217046347797442
"ENSMUSG00000001288",-9.8807460737781,0.0740698732998334,0.286822784308868
"ENSMUSG00000001323",-9.41409689083132,-0.20938231532654,-0.243149128856384
"ENSMUSG00000001348",-9.15182642397945,0.584337042213162,-0.115493122101116
"ENSMUSG00000001366",-8.56202604572831,-0.0962106989400079,-0.164051551539671
"ENSMUSG00000001380",-9.90632299850522,0.186294582074592,-0.00961667575365762
"ENSMUSG00000001418",-9.19838883638951,-0.336327604329903,-0.375781896399549
"ENSMUSG00000001419",-8.50211383540078,-0.260652453160258,-0.285880768907624
