"","raw_pval_beta_cis","raw_pval_beta_trans","BH_FDR_beta_cis","BH_FDR_beta_trans"
"ENSMUSG00000000056",0.542231246831791,0.93103785721351,0.261942196961957,0.808303050910824
"ENSMUSG00000000058",0.793571199629391,0.817212261333263,0.579825389075947,0.548093449644621
"ENSMUSG00000000078",0.604580232414253,0.347129722580826,0.325683421682452,0.063611376298731
"ENSMUSG00000000088",0.881042085912085,0.896383605086936,0.734201738260071,0.716656440046892
"ENSMUSG00000000120",0.103212529509876,0.100874094592318,0.0146260971466257,0.00451145448176697
"ENSMUSG00000000142",0.797986778377269,0.372343736261792,0.586259633159582,0.0747182237925672
"ENSMUSG00000000148",0.109375290870508,0.0693531560303702,0.0160307168361297,0.00214913465085737
"ENSMUSG00000000149",0.858708322434163,0.525466560129052,0.693295496504634,0.169610395539143
"ENSMUSG00000000184",0.858020642547615,0.700719551707787,0.692021674014534,0.358693291460469
"ENSMUSG00000000194",0.90099954665784,0.897605641959533,0.77679140144856,0.719738393309931
"ENSMUSG00000000253",0.00565615738825238,0.0347877018295752,0.000189486009656696,0.000611844002027704
"ENSMUSG00000000275",0.105310758543448,0.682896993861847,0.0150116340905317,0.335042762985151
"ENSMUSG00000000276",0.846048261845103,0.908296885613217,0.669327628257022,0.748698320620208
"ENSMUSG00000000278",0.89247139400353,0.763420015065884,0.758077460467655,0.451913958667141
"ENSMUSG00000000290",0.465453418186028,0.982254320246944,0.194211803132562,0.946550938757231
"ENSMUSG00000000339",0.391842469950267,0.423134051717819,0.138490387201853,0.0997944296178709
"ENSMUSG00000000340",0.370493455027003,0.979098553731137,0.124801061651475,0.93826177988205
"ENSMUSG00000000378",0.996770940310385,0.752832498296442,0.992596857645769,0.436062777070201
"ENSMUSG00000000384",0.613497361881896,0.712914579144633,0.336652823706046,0.37639979119998
"ENSMUSG00000000420",0.10795491560641,0.824845899658196,0.0156959575789554,0.563990110955571
"ENSMUSG00000000439",0.0247916159784028,0.0633107923210255,0.00163616360058471,0.00174979576766653
"ENSMUSG00000000440",0.25793359175713,0.705405466966176,0.0656715342497216,0.365818312517133
"ENSMUSG00000000441",0.896914547498477,0.766221669213455,0.767560539894426,0.457037749425312
"ENSMUSG00000000530",0.091768935910146,0.0416633774163604,0.0122204864402958,0.000823497242065415
