"","Intercept","beta_cis","beta_trans"
"ENSMUSG00000000056",-8.94494383596121,0.0781184668985194,0.0149071243574666
"ENSMUSG00000000058",-11.0285902658218,0.0789695922570548,-0.122801703382144
"ENSMUSG00000000078",-10.4681468333922,-0.14145206097127,-0.317101231416874
"ENSMUSG00000000088",-7.86688351401679,0.0467154488882911,0.0893174770080884
"ENSMUSG00000000120",-9.53980736870392,-0.464611666292956,-0.835601625391138
"ENSMUSG00000000142",-9.88294313166208,0.0496672242431622,-0.254838687580401
"ENSMUSG00000000148",-10.942538924992,0.3052858251875,0.415901317346847
"ENSMUSG00000000149",-8.46250392476885,0.0418699485581875,0.187946295250046
"ENSMUSG00000000184",-10.2221549245895,-0.0357916082044586,-0.0942672189180895
"ENSMUSG00000000194",-9.78358992276115,-0.0228405500385252,-0.0293914974092749
"ENSMUSG00000000253",-14.0077074724068,1.31450750333107,1.38093919481136
"ENSMUSG00000000275",-8.21686693349252,0.295315545597357,0.122262294895665
"ENSMUSG00000000276",-11.8772696343468,-0.0624351596278524,0.0420661645303786
"ENSMUSG00000000278",-10.3488499690832,0.106298499408241,0.257703548733494
"ENSMUSG00000000290",-10.4355492266471,0.211065800902451,0.0125103704694042
"ENSMUSG00000000339",-10.2182422860032,-0.1728605772475,0.235163021502409
"ENSMUSG00000000340",-7.91973011931716,0.138529323804688,-0.00547276794599909
"ENSMUSG00000000378",-10.2484525293581,-0.000682558443236368,-0.0665036277855823
"ENSMUSG00000000384",-8.84330011513462,0.103945797321886,0.131104469842709
"ENSMUSG00000000420",-8.48094349306684,-0.239057253003493,0.047217468546297
"ENSMUSG00000000439",-9.92931758401864,-0.389298893602345,-0.394347559377479
"ENSMUSG00000000440",-11.9225619622213,0.472925568044778,-0.189482477280246
"ENSMUSG00000000441",-9.21313701867866,0.0262504468503469,0.075723374430492
"ENSMUSG00000000530",-12.159886432656,0.511830565709555,0.727360369387554
"ENSMUSG00000000531",-13.1902207443084,0.494329878736349,0.595785379960063
"ENSMUSG00000000532",-9.51234079599815,-0.0688384184062053,-0.0508238758676742
"ENSMUSG00000000568",-9.10839793868507,-0.112334234614683,-0.196735502473741
"ENSMUSG00000000581",-9.88786200810529,-0.136266836360105,-0.00923541468820813
"ENSMUSG00000000594",-8.47141796196597,0.322818146846733,0.475703874161884
"ENSMUSG00000000628",-13.5986752107989,0.678174232367192,0.697292450337994
"ENSMUSG00000000631",-7.9832002345179,-0.124811657453785,-0.0030610986683264
"ENSMUSG00000000708",-8.18921816709444,-0.377009446040365,-0.153884579044675
"ENSMUSG00000000738",-9.21604130593262,-0.335713450886214,-0.277010486781602
"ENSMUSG00000000740",-7.9121553604965,0.18474793906246,0.306200371614014
"ENSMUSG00000000743",-9.25714285612874,0.0783830730720062,-0.0560186065278237
"ENSMUSG00000000751",-9.90286115365241,0.10958045037158,-0.0618732112559196
"ENSMUSG00000000759",-9.81866545169228,0.0270119704069686,-0.194134495071358
"ENSMUSG00000000776",-9.89156881928792,-0.278728341815589,-0.203796123182001
"ENSMUSG00000000811",-10.7897650781845,-0.0206372653178366,-0.01788224373333
"ENSMUSG00000000826",-8.74453201433743,0.0296866725099712,0.126122622125915
"ENSMUSG00000000876",-7.60798349946551,-0.0526731890470593,0.0121669589387537
"ENSMUSG00000000902",-9.85357350264164,-0.000770608289715022,0.0232057837442761
"ENSMUSG00000000957",-9.77800541338267,-0.220166498481909,-0.15042823741512
"ENSMUSG00000000976",-9.98311400200627,-0.229832752134113,-0.174398172098917
"ENSMUSG00000001029",-12.0616070486941,0.0660557882146083,0.171070932343974
