"","raw_pval_beta_cis","raw_pval_beta_trans","BH_FDR_beta_cis","BH_FDR_beta_trans"
"ENSMUSG00000000056",0.82546261906695,0.803186618702777,0.640968854113543,0.554072098504815
"ENSMUSG00000000058",0.772365535752913,0.749091209283761,0.548789485298407,0.456288896684292
"ENSMUSG00000000078",0.296174046308428,0.333992064778431,0.0866373121726365,0.0640571519865026
"ENSMUSG00000000088",0.96685001586085,0.92667646089168,0.922253915417548,0.808347246875835
"ENSMUSG00000000120",0.0533169001252421,0.0364336018267973,0.00539769194077828,0.000729042736232336
"ENSMUSG00000000142",0.766450708606715,0.189437599117765,0.540037763992013,0.018792775221959
"ENSMUSG00000000148",0.523684271387366,0.867701545794913,0.24456952406322,0.678475805945454
"ENSMUSG00000000149",0.929102556902868,0.61198029546061,0.839768802491484,0.275012342372497
"ENSMUSG00000000168",0.122494030550847,0.185957345827677,0.0196713323608024,0.0181321814229123
"ENSMUSG00000000184",0.886811730797313,0.341530334003148,0.756278818751854,0.0671245815007034
"ENSMUSG00000000194",0.428800682486347,0.372747393446991,0.1661539018961,0.0817300966130168
"ENSMUSG00000000253",0.000249405119464526,0.00532468266707033,2.36843932338706e-06,1.98648496990923e-05
"ENSMUSG00000000275",0.0891565645148357,0.712484666031562,0.0118683912403164,0.400885894843602
"ENSMUSG00000000276",0.195199479522576,0.454297609583889,0.0422706012125368,0.132506679410597
"ENSMUSG00000000278",0.951438389923717,0.991480558622772,0.888837390213627,0.977021116865682
"ENSMUSG00000000290",0.159589390641277,0.854290372874066,0.0305539125036461,0.650749933008361
"ENSMUSG00000000339",0.419337179151277,0.297645672391627,0.159144752745558,0.0494646021610639
"ENSMUSG00000000340",0.431930631003263,0.751162874561987,0.168685135357048,0.459334123396731
"ENSMUSG00000000378",0.948312063329213,0.906088987967692,0.880931572480487,0.758582556146599
"ENSMUSG00000000384",0.692868216882235,0.666079856009354,0.43966641810638,0.338179258757335
"ENSMUSG00000000420",0.140845348366426,0.972391038186627,0.0247440700199452,0.924901023094589
