"","Intercept","beta_cis","beta_trans"
"ENSMUSG00000000056",-9.06997262176576,0.035216816338993,0.0516499741086564
"ENSMUSG00000000058",-10.8804048211147,0.0922746134906259,-0.200230406933209
"ENSMUSG00000000078",-10.3091093406992,-0.318570684081188,-0.357500560540862
"ENSMUSG00000000088",-8.03343949812035,-0.0116777307385272,0.0534288411026712
"ENSMUSG00000000120",-9.56323365213616,-0.456699145445742,-0.790245984516942
"ENSMUSG00000000142",-9.78545382212022,-0.0659115093302572,-0.459155167982967
"ENSMUSG00000000148",-10.5660668313006,-0.147206675408319,0.0467407259641678
"ENSMUSG00000000149",-8.46680283864103,0.0266189711428179,0.188787447878359
"ENSMUSG00000000168",-10.1523218343742,0.954331721566583,0.995110489080292
"ENSMUSG00000000184",-10.1766891775256,-0.0283512520067365,-0.230260488354106
"ENSMUSG00000000194",-10.0461725460325,0.159442319758173,0.222561024021715
"ENSMUSG00000000253",-14.9033021210302,2.03346548513089,1.86154084020945
"ENSMUSG00000000275",-8.31566092475767,0.293428911928863,0.100674152534936
"ENSMUSG00000000276",-11.6867935173579,-0.52475977539885,-0.35623549362138
"ENSMUSG00000000278",-10.229474125458,-0.0521445733380822,-0.0094847630880884
"ENSMUSG00000000290",-10.5360641171004,0.406360555596859,-0.097821399853127
"ENSMUSG00000000339",-10.3308696566587,-0.165290994318385,0.304517260790914
"ENSMUSG00000000340",-7.97116672146012,0.0986280302978003,0.05513504219966
"ENSMUSG00000000378",-10.2882953845249,0.00997672066031529,0.0218134317931396
"ENSMUSG00000000384",-8.90575918624951,0.0769830726512556,0.141920879124474
"ENSMUSG00000000420",-8.57847169179031,-0.212138742263408,-0.00711181754972998
"ENSMUSG00000000439",-10.3934100769574,0.010521584263267,0.0951323912684422
"ENSMUSG00000000440",-11.4526078367287,0.277112786224002,-0.54618489986831
"ENSMUSG00000000441",-9.28134027940377,0.10071104647673,0.192072130362592
"ENSMUSG00000000489",-12.3965381706969,-0.488805247066384,0.2115652323363
"ENSMUSG00000000530",-11.4634469009196,-0.0647059256084149,0.0549235412253328
"ENSMUSG00000000532",-9.84897199695884,0.101679525623867,0.208266787940424
"ENSMUSG00000000568",-9.0689283496426,-0.123135266089661,-0.167500234965228
"ENSMUSG00000000581",-10.0651742626078,0.0377779289553324,0.253401833736411
"ENSMUSG00000000594",-8.20334729926413,0.0443585694156621,0.0244667492294351
"ENSMUSG00000000628",-12.8627437615916,0.121878646859177,0.391006847038466
"ENSMUSG00000000631",-8.01315184811149,-0.178102283990724,-0.100693997805776
"ENSMUSG00000000708",-8.14953313528647,-0.339843723853319,-0.115397959326535
"ENSMUSG00000000738",-9.67337103342442,0.0101537335529816,0.0718861607512037
"ENSMUSG00000000740",-7.82583717344244,0.112894025598267,0.358028252814459
"ENSMUSG00000000743",-9.27195685441162,0.0374990308376879,0.0928190060310122
"ENSMUSG00000000751",-10.2809087514767,0.345379262405916,0.274476379103399
"ENSMUSG00000000759",-9.96698028426976,0.21359728081534,-0.0555369948073473
"ENSMUSG00000000776",-10.317660408998,0.146922314350405,0.0938417335168887
"ENSMUSG00000000811",-10.7916918247505,0.0664629711703614,-0.0174126994636467
"ENSMUSG00000000826",-8.71198433736325,-0.0179820196703803,-0.00576673763794167
"ENSMUSG00000000876",-7.68532552587603,0.00154394825780666,-0.0171332083243976
"ENSMUSG00000000902",-9.82390461054869,-0.0609184653002361,0.0369065622784362
"ENSMUSG00000000942",-13.7918794830459,0.215335958934835,-0.00347463405527191
"ENSMUSG00000000957",-9.7706385444775,-0.0491589806859092,-0.0677728937444952
"ENSMUSG00000000976",-10.2879111860158,0.042047894122409,-0.0102915651481994
"ENSMUSG00000001052",-9.56311518065753,0.0205951372144339,-0.245501602160397
"ENSMUSG00000001054",-9.66717350423385,-0.11505288754749,0.0765059109532969
"ENSMUSG00000001062",-9.7354044996261,-0.500096852971643,-0.316408815488184
"ENSMUSG00000001065",-9.9373496499849,-0.0840823227477318,-0.278699294459139
"ENSMUSG00000001089",-9.13935932614607,-0.0416874770958713,-0.15010530472593
"ENSMUSG00000001105",-9.03764246887805,-0.407717650671283,-0.347720324935272
"ENSMUSG00000001119",-10.6604139948477,0.430901565346543,0.0260436861181932
"ENSMUSG00000001120",-12.4189675815861,0.0170293421470233,-0.259512954713697
"ENSMUSG00000001123",-6.98001512447827,0.124472914465704,0.0830685841929662
"ENSMUSG00000001138",-9.60054315754523,-0.100184451948464,-0.181184027917634
"ENSMUSG00000001143",-9.72676597873566,-0.420799665535279,-0.128195940222599
"ENSMUSG00000001150",-9.60053288178553,0.27446911063714,0.154221634504898
"ENSMUSG00000001151",-9.88647315172427,-0.0340576916700704,-0.00802654690828189
"ENSMUSG00000001175",-8.06430483902652,-0.170525522475934,0.0346202035982171
"ENSMUSG00000001211",-7.34551501295191,-0.0257834421766906,0.209411933364674
"ENSMUSG00000001229",-8.72484293045289,0.0031900528286295,0.0656656448522931
"ENSMUSG00000001240",-10.8676637748565,-0.189598716453205,-0.183089603559543
"ENSMUSG00000001248",-9.2659380797039,-0.969408016326954,-1.09185235053322
"ENSMUSG00000001249",-5.74451807812991,-1.12300690224109,-0.951517271864291
"ENSMUSG00000001280",-9.358508697518,0.208633029164668,0.0649538073589735
"ENSMUSG00000001288",-11.0537358497398,0.301455062113837,0.250330626756652
"ENSMUSG00000001323",-8.39502927595821,-0.129341342596167,-0.0653183418494547
"ENSMUSG00000001348",-8.55933062916612,-0.236575256487745,0.0435463289655127
"ENSMUSG00000001366",-8.56441470664186,-0.0760555229758044,-0.00961658351111665
"ENSMUSG00000001380",-9.99214748664935,0.266975159202718,0.303920493731786
"ENSMUSG00000001418",-9.50203431925634,-0.00898939454767796,0.131205921266498
"ENSMUSG00000001419",-9.28592323730959,-0.358061389715092,-0.442094254293389
"ENSMUSG00000001420",-12.239221417987,0.465613687747656,0.486700167813778
"ENSMUSG00000001424",-8.28391510376436,-0.00340425328812086,0.2156009569472
"ENSMUSG00000001435",-6.80959519087089,0.538939763196328,0.682286271513305
"ENSMUSG00000001436",-10.3793024783688,0.300729164614047,0.374354962992698
"ENSMUSG00000001441",-9.70681048310926,-0.106600494217875,-0.13825440356214
"ENSMUSG00000001445",-9.63356884388521,-0.124478068995321,0.10936656281518
"ENSMUSG00000001467",-7.60272430896425,-0.189177009087192,-0.635566860035814
"ENSMUSG00000001472",-8.5490582847037,0.148900705980028,0.191657969177947
"ENSMUSG00000001473",-11.0770420348322,0.457727172095111,0.0264362601867807
"ENSMUSG00000001482",-8.8106207718546,-0.408422761975508,0.0101105974040223
"ENSMUSG00000001506",-11.0902021388734,-0.146520644561829,-0.660450810379332
"ENSMUSG00000001521",-12.4666331239282,0.281625201904787,0.345069249307353
"ENSMUSG00000001524",-9.7596185045914,-0.0864278935644029,0.0283880913784302
"ENSMUSG00000001525",-9.74464297713242,0.22733760337923,0.229924978454248
"ENSMUSG00000001542",-8.76708468485662,0.134361315624386,0.0229213096620286
"ENSMUSG00000001552",-9.26045083296325,0.0578233490081266,-0.126507671896506
"ENSMUSG00000001569",-8.9404519059665,0.119890399292708,-0.237110142229695
"ENSMUSG00000001576",-7.89868109613417,0.144119409248918,-0.15374788746699
