"","raw_pval_beta_cis","raw_pval_beta_trans","raw_pval_beta_cis.BAT","raw_pval_beta_trans.BAT","raw_pval_beta_BAT","raw_pval_beta_cis.Cold","raw_pval_beta_trans.Cold","raw_pval_beta_Cold","raw_pval_beta_cis.BAT.Cold","raw_pval_beta_trans.BAT.Cold","raw_pval_beta_BAT.Cold","BH_FDR_beta_cis","BH_FDR_beta_trans","BH_FDR_beta_cis.BAT","BH_FDR_beta_trans.BAT","BH_FDR_beta_BAT","BH_FDR_beta_cis.Cold","BH_FDR_beta_trans.Cold","BH_FDR_beta_Cold","BH_FDR_beta_cis.BAT.Cold","BH_FDR_beta_trans.BAT.Cold","BH_FDR_beta_BAT.Cold"
"ENSMUSG00000000056",0.884414336112472,0.856901508941279,0.707107757461121,0.958445792751764,0.0730543503785802,0.906684419887951,0.92889918950967,0.800756788597998,0.841035280429494,0.838403796992546,0.952374201284757,0.707562468340945,0.590339963485483,0.305099771971483,0.839353947840969,0.0171817276915623,0.633058312098422,0.694802267933276,0.380310357010265,0.465178293907375,0.419642699651369,0.817512940394802
"ENSMUSG00000000058",0.884167332502685,0.877990233269991,0.84798955936945,0.980120798523229,0.0122272995911792,0.994597474750783,0.964842548850037,0.887795953810255,0.975851268445956,0.99698596124341,0.974727478445003,0.706899994896118,0.638566328088059,0.564583304599464,0.917768213548828,0.000705009037065889,0.973331983702834,0.840728558163755,0.592953098487712,0.895641972108565,0.985454052122824,0.905543351426036
"ENSMUSG00000000078",0.465354915100584,0.522320523434995,0.700454314597259,0.560370610896995,0.227405209667567,0.760989282686484,0.942147828907609,0.773672608538239,0.953429681360793,0.743721235712149,0.818020200010624,0.147370545318394,0.120465090928926,0.296459370794318,0.0933951018161658,0.102264593061159,0.303408800930906,0.745660637109492,0.330159972273153,0.809563057517182,0.226922304832606,0.426500191908799
"ENSMUSG00000000088",0.975078065882838,0.939572418173893,0.954349900546671,0.959991147898798,0.133742861472376,0.908906247760923,0.975702912382878,0.870206658976024,0.954151516792744,0.994354901387334,0.847716797696702,0.930134930354064,0.802736687451407,0.854833918978975,0.846259283899571,0.0454481963538272,0.639547596347723,0.885075056868871,0.544146049636602,0.812684257205177,0.971351948884157,0.501261211957356
"ENSMUSG00000000120",0.321839109103512,0.311538985393475,0.41190816066243,0.285245806101925,0.0024868015306914,0.986839284551875,0.963174950511804,0.983067348969372,0.952856451713329,0.84974933988588,0.832051877992716,0.0681355842616618,0.0312849349159589,0.06518630723417,0.00964816694316012,2.92000880750655e-05,0.938586890512272,0.832523458802001,0.934137954103038,0.80790738054488,0.448553279308845,0.461813581774085
"ENSMUSG00000000142",0.745495509693846,0.160876225534397,0.880182655867622,0.800131768562556,0.328896634177983,0.692747786312728,0.655782715323447,0.732049262701421,0.944835636327304,0.955327108089059,0.814795468978019,0.446435008171026,0.00662564195593818,0.641703443464652,0.381696227484626,0.178397315594262,0.211126603644906,0.143086133995389,0.262619144891309,0.778918127108945,0.811509024344141,0.418821435421053
"ENSMUSG00000000148",0.493504717108007,0.813728336291067,0.658819524131737,0.386134623093916,0.449321830715401,0.120045602110566,0.299143497783765,0.188902703092606,0.811515664717705,0.698356566549478,0.893395067836862,0.167355700596564,0.495281898341899,0.246508882583466,0.0244971492393967,0.281121439827197,0.000988808850192184,0.00718237981009039,0.002913325950254,0.401348967023022,0.169999521720509,0.62315323694194
"ENSMUSG00000000149",0.939180132028541,0.645684462259351,0.453665084457707,0.863869438242306,0.10471154050027,0.968472764729667,0.999135221810913,0.952691045719445,0.83384286144152,0.800553450875649,0.710922916440209,0.835978950328244,0.23412568391423,0.0841975682510886,0.543059879946574,0.030793193999203,0.854245254974486,0.995282965435196,0.810605507705556,0.449509400945341,0.331529583669674,0.237348081987136
"ENSMUSG00000000184",0.901580981662465,0.48568276705124,0.623680233259889,0.856804647326797,0.696946702587431,0.996797333982727,0.766862742708361,0.850725148944584,0.490781706471713,0.39680462514745,0.300209119793448,0.747209334434244,0.0974600014499947,0.208877133852024,0.524203474205722,0.553795364446444,0.984394142480313,0.287472731625164,0.49454176639488,0.055391415872377,0.0165509114590069,0.0113643830836636
"ENSMUSG00000000194",0.425029840345384,0.35503035307597,0.614742111870788,0.654506695604005,0.157552860428627,0.520065164705314,0.469439896844134,0.465625446188074,0.436727638827714,0.467312569142371,0.412693155682091,0.12044746790019,0.0437410336860159,0.199634969031996,0.167698701187006,0.0582056484023038,0.0743731465824634,0.0363639036812316,0.0483904468260652,0.0383456969948624,0.0298929351098783,0.0305939721089247
