"","Intercept","beta_cis","beta_trans","beta_cis*BAT","beta_trans*BAT","beta_BAT","beta_cis*Cold","beta_trans*Cold","beta_Cold","beta_cis*BAT*Cold","beta_trans*BAT*Cold","beta_BAT*Cold"
"ENSMUSG00000000056",-9.04500744899745,0.0371299340798985,0.0613566425525172,0.138704705950351,-0.0253869207115124,-0.752772180246507,0.0411382376784358,-0.042760872735684,0.102239444021706,-0.102680628505884,-0.139723343759175,0.0349639993091987
"ENSMUSG00000000058",-10.7948844635211,0.0883657999245499,-0.198308005838643,-0.165762854297094,0.0423246999786357,3.12533583840691,-0.00588553911214135,0.0781464996163588,-0.17322137822406,-0.0372557253562918,0.0103933605282414,-0.0550028773465746
"ENSMUSG00000000078",-10.2737351848591,-0.347133785329782,-0.377949014674365,0.249049846281514,0.476234980176795,0.871854304933852,0.199778433059792,0.0599843391262665,-0.209785273268794,-0.052602552721304,0.376880906493985,-0.232901926158521
"ENSMUSG00000000088",-7.98929930328378,-0.0118723497915481,0.0608604097964733,0.0306342032750681,-0.0572307919913159,1.16269726594543,0.0611052450081036,0.0352259486406899,0.127031307983209,-0.0434221782844872,0.0114912545478553,-0.211331686014945
"ENSMUSG00000000120",-9.51537440446019,-0.440908618430878,-0.768577628403169,0.538623855548208,1.16706866503456,-2.54306572595889,-0.0102588042385868,-0.0506379337440713,-0.0170630295380972,0.0538669907270081,-0.297007130345706,0.248328324818018
"ENSMUSG00000000142",-9.75344905726233,-0.0666271162210503,-0.450883081695543,0.0443719446760561,0.112275551524254,0.346868312111224,0.116252708703307,0.200817159660176,-0.122416401024749,0.0289486306081089,0.0351680680495448,-0.117920161580025
"ENSMUSG00000000148",-10.5306193131596,-0.143396691901715,0.0591156147405879,-0.125940827164345,-0.30200886068871,0.235406804138713,0.453696414905176,0.366427522630029,-0.420373481934549,-0.0962693071059303,-0.191284521023522,0.0593954998967822
"ENSMUSG00000000149",-8.43543867582381,0.0259535636465807,0.195641252613924,0.378394539583131,0.105594792352494,-0.90139120205916,0.0188378699257205,-0.000652829523251184,-0.0314542571724455,-0.14669578437225,-0.218042885491405,0.286105514523666
"ENSMUSG00000000184",-10.1619075494198,-0.031823297410663,-0.224871820574915,0.177174555404864,0.0819634361910327,-0.156589125739041,-0.00144785412905008,0.135008459303064,-0.0757192672930964,0.358300507379225,0.549407937380863,-0.598659737283846
"ENSMUSG00000000194",-10.0149440449619,0.159050148845204,0.229043960545138,-0.137562593480028,-0.153915430195229,0.430641234957162,-0.179941074217437,-0.25250856718475,0.226533053416294,0.302608924386639,0.354384098054019,-0.354463659973225
"ENSMUSG00000000253",-15.1631369189179,2.25233271392584,2.08728571130456,-0.937031952179053,-1.33400955575781,6.15262354089047,-1.18711923689859,-0.948417747040912,1.54532674854165,1.28499533897678,1.40501341626083,-1.03110752531507
"ENSMUSG00000000275",-8.27350315828774,0.291801822072071,0.105833519404073,-0.174905149429615,0.0258157470652469,-1.13988501812593,0.00245582898098025,0.0201698067380597,0.0646118602485154,0.131711294470473,0.0122790389648893,-0.201946917418486
"ENSMUSG00000000276",-11.6359004898134,-0.59025636440857,-0.413434975777805,0.534165168982768,0.619397665971759,1.2493208885665,0.533011433456985,0.465035611342001,-0.302992498411165,-0.27897634727789,-0.414721387264014,0.106031484668997
"ENSMUSG00000000278",-10.1995116576915,-0.0563872251688595,-0.0055541228394712,0.105292169009204,-0.0376447035585128,0.154496104864005,0.166191949557545,0.269676560567624,-0.156035030519601,-0.39615310335904,-0.60211060683546,0.467113832175275
"ENSMUSG00000000290",-10.4825689436587,0.401571226551333,-0.0956210456098819,-0.0396281101580513,0.348859515840571,-0.799757064899146,-0.193534417634024,0.110118185976624,0.0622388070732231,-0.0287568539360327,-0.504804996454679,0.195730442012146
"ENSMUSG00000000339",-10.2892101597811,-0.16357254801814,0.31532104135368,0.143593896128866,-0.00191924274592029,0.438727145100964,-0.00537770158834757,-0.0714284350876724,0.0786852735549648,-0.188559462369766,-0.0173392144223344,0.089237261296264
"ENSMUSG00000000340",-7.93836349302807,0.0990767409955947,0.0638903566847459,-0.132502151530039,0.0920230610573525,0.350726038440652,0.0397786801559174,-0.0654798321542733,0.020350306868095,-0.0328360054559481,-0.146559489689386,0.138037471981196
"ENSMUSG00000000378",-10.262774881083,0.0126642133324673,0.033283830770186,0.301809057711694,-0.142640041328385,0.0591686350044096,-0.0110336023785024,-0.0934021372715052,0.0128088445967235,-0.163503306719922,0.0946245866276241,-0.0239277892902804
"ENSMUSG00000000384",-8.86256672921898,0.0769880678728385,0.150148503722232,0.0194887985020467,-0.0289025936089476,0.763648750323849,0.0273361054049227,-0.0139718436400086,0.0267589025672747,0.0444791209337409,0.00273331640560296,-0.106029985861856
"ENSMUSG00000000420",-8.54536561730233,-0.212333348673466,0.000760925965866806,-0.0147167738138345,-0.0169880117562213,0.0316241632976524,-0.027157471402812,0.0497219228113165,0.0665468322482428,0.0564334847436896,0.0801383534340801,-0.0846246797002194
"ENSMUSG00000000439",-10.3775043998723,0.0210379188790471,0.113008476598668,-0.213041797560655,0.000143784045771296,0.764407003971647,-0.423325371283819,-0.516761431360642,0.455717580287063,0.55186812180005,0.444996434913775,-0.601914147223333
"ENSMUSG00000000440",-11.5270042929247,0.328085987280077,-0.484976978599464,-0.342684690728633,0.285144113260065,3.73673108857464,0.211235896769063,0.37892757638401,-0.515294323328715,-0.152406319199564,-0.213321117211477,0.341331040202517
"ENSMUSG00000000441",-9.25459756633086,0.100928607337,0.200510186858143,0.0175305956203793,0.00396555213799125,-0.199612090110158,-0.0743477840401133,-0.120706058218624,0.0405510309562702,-0.0620607791276818,-0.0341012870297144,-0.0044768687100599
