"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000027559","ENSMUSG00000027559","Car3","carbonic anhydrase 3 [Source:MGI Symbol;Acc:MGI:88270]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022858","ENSMUSG00000022858","Tra2b","transformer 2 beta [Source:MGI Symbol;Acc:MGI:106016]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020946","ENSMUSG00000020946","Gosr2","golgi SNAP receptor complex member 2 [Source:MGI Symbol;Acc:MGI:1927204]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027006","ENSMUSG00000027006","Dnajc10","DnaJ heat shock protein family (Hsp40) member C10 [Source:MGI Symbol;Acc:MGI:1914111]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039529","ENSMUSG00000039529","Atp8b1","ATPase, class I, type 8B, member 1 [Source:MGI Symbol;Acc:MGI:1859665]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039844","ENSMUSG00000039844","Rapgef1","Rap guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:104580]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000002870","ENSMUSG00000002870","Mcm2","minichromosome maintenance complex component 2 [Source:MGI Symbol;Acc:MGI:105380]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026812","ENSMUSG00000026812","Tsc1","TSC complex subunit 1 [Source:MGI Symbol;Acc:MGI:1929183]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039176","ENSMUSG00000039176","Polg","polymerase (DNA directed), gamma [Source:MGI Symbol;Acc:MGI:1196389]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018196","ENSMUSG00000018196","Glrx2","glutaredoxin 2 (thioltransferase) [Source:MGI Symbol;Acc:MGI:1916617]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021701","ENSMUSG00000021701","Plk2","polo like kinase 2 [Source:MGI Symbol;Acc:MGI:1099790]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026482","ENSMUSG00000026482","Rgl1","ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]","ARRAYEXPRESS,ENSG"
