"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000007613","ENSMUSG00000007613","Tgfbr1","transforming growth factor, beta receptor I [Source:MGI Symbol;Acc:MGI:98728]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000062115","ENSMUSG00000062115","Rai1","retinoic acid induced 1 [Source:MGI Symbol;Acc:MGI:103291]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022051","ENSMUSG00000022051","Bnip3l","BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000050786","ENSMUSG00000050786","Ccdc126","coiled-coil domain containing 126 [Source:MGI Symbol;Acc:MGI:1889376]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029911","ENSMUSG00000029911","Ssbp1","single-stranded DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1920040]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038872","ENSMUSG00000038872","Zfhx3","zinc finger homeobox 3 [Source:MGI Symbol;Acc:MGI:99948]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027332","ENSMUSG00000027332","Ivd","isovaleryl coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:1929242]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045160","ENSMUSG00000045160","Bola3","bolA-like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1925903]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079184","ENSMUSG00000079184","Mphosph8","M-phase phosphoprotein 8 [Source:MGI Symbol;Acc:MGI:1922589]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031652","ENSMUSG00000031652","N4bp1","NEDD4 binding protein 1 [Source:MGI Symbol;Acc:MGI:2136825]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048720","ENSMUSG00000048720","Tbc1d12","TBC1D12: TBC1 domain family, member 12 [Source:MGI Symbol;Acc:MGI:2384803]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035900","ENSMUSG00000035900","Gramd4","GRAM domain containing 4 [Source:MGI Symbol;Acc:MGI:2676308]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020123","ENSMUSG00000020123","Avpr1a","arginine vasopressin receptor 1A [Source:MGI Symbol;Acc:MGI:1859216]","ARRAYEXPRESS,ENSG"
